GYEAR,G_ID,PCODE,HIT_RESULT
2021,20210404,64006,17
2021,20210404,62415,17
2021,20210406,66606,17
2021,20210406,69209,17
2021,20210408,67304,17
2021,20210409,79109,17
2021,20210409,50854,17
2021,20210411,64868,17
2021,20210413,75566,17
2021,20210413,64868,17
2021,20210415,50506,17
2021,20210416,51463,17
2021,20210416,78548,17
2021,20210417,74540,17
2021,20210417,62415,17
2021,20210418,66606,17
2021,20210418,75566,17
2021,20210420,66108,17
2021,20210420,62895,17
2021,20210421,50923,17
2021,20210421,62404,17
2021,20210421,62404,17
2021,20210421,62415,17
2021,20210421,74163,17
2021,20210422,79109,17
2021,20210422,64153,17
2021,20210422,64153,17
2021,20210422,67304,17
2021,20210423,51817,17
2021,20210423,64646,17
2021,20210427,65362,17
2021,20210428,64646,17
2021,20210428,65898,17
2021,20210501,51725,17
2021,20210501,78168,17
2021,20210502,64006,17
2021,20210502,75566,17
2021,20210502,51817,17
2021,20210505,78168,17
2021,20210506,79608,17
2021,20210506,62415,17
2021,20210509,62947,17
2021,20210509,51004,17
2021,20210509,63257,17
2021,20210511,62947,17
2021,20210511,50506,17
2021,20210511,64006,17
2021,20210512,74465,17
2021,20210512,79608,17
2021,20210512,50458,17
2021,20210512,62404,17
2021,20210512,62404,17
2021,20210513,77564,17
2021,20210513,62404,17
2021,20210513,50458,17
2021,20210513,65898,17
2021,20210513,69209,17
2021,20210514,69737,17
2021,20210514,79240,17
2021,20210515,75125,17
2021,20210515,69652,17
2021,20210522,50458,17
2021,20210522,50854,17
2021,20210522,69209,17
2021,20210522,79365,17
2021,20210522,74163,17
2021,20210523,51463,17
2021,20210523,75334,17
2021,20210526,51004,17
2021,20210526,75334,17
2021,20210528,64153,17
2021,20210528,75125,17
2021,20210529,74540,17
2021,20210529,69209,17
2021,20210529,74540,17
2021,20210529,62895,17
2021,20210529,61102,17
2021,20210530,50923,17
2021,20210602,77564,17
2021,20210602,78168,17
2021,20210602,62907,17
2021,20210602,74465,17
2021,20210604,75566,17
2021,20210608,50506,17
2021,20210608,63257,17
2021,20210609,76267,17
2021,20210609,60523,17
2021,20210610,62907,17
2021,20210610,62931,17
2021,20210611,62895,17
2021,20210613,61404,17
2021,20210616,62895,17
2021,20210617,75125,17
2021,20210617,61186,17
2021,20210617,64984,17
2021,20210618,51817,17
2021,20210618,50923,17
2021,20210619,67304,17
2021,20210620,79109,17
2021,20210622,64868,17
2021,20210622,75125,17
2021,20210623,50506,17
2021,20210623,71564,17
2021,20210623,67304,17
2021,20210624,50854,17
2021,20210624,62931,17
2021,20210625,79608,17
2021,20210626,62404,17
2021,20210626,77564,17
2021,20210629,79608,17
2021,20210629,67304,17
2021,20210629,75334,17
2021,20210630,64166,17
2021,20210630,75125,17
2021,20210630,62404,17
2021,20210701,71564,17
2021,20210701,78603,17
2021,20210701,62925,17
2021,20210701,69209,17
2021,20210701,74540,17
2021,20210702,50506,17
2021,20210704,79608,17
2021,20210704,78603,17
2021,20210704,64166,17
2021,20210705,69737,17
2021,20210705,61102,17
2021,20210709,64166,17
2021,20210709,66606,17
2021,20210709,64646,17
2021,20210710,75566,17
