DATE,OPPOSITE,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,PCODE
04.04,NC,0.000,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0.000,50165
04.06,KT,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.143,50165
04.07,KT,0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.111,50165
04.09,SSG,0.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.100,50165
04.10,SSG,0.750,5,4,2,3,1,0,1,1,0,0,1,0,1,0,0.286,50165
04.11,SSG,0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.235,50165
04.13,키움,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.190,50165
04.14,키움,0.500,5,4,0,2,0,0,0,2,0,0,1,0,0,0,0.240,50165
04.15,키움,0.250,4,4,1,1,0,0,0,0,0,0,0,0,2,0,0.241,50165
04.16,두산,0.250,4,4,0,1,0,0,0,1,0,0,0,0,1,0,0.242,50165
04.17,두산,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.216,50165
04.18,두산,0.500,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0.244,50165
04.20,KIA,0.333,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0.250,50165
04.21,KIA,0.250,4,4,1,1,0,0,1,3,0,0,0,0,2,0,0.250,50165
04.22,KIA,0.000,5,3,0,0,0,0,0,0,0,0,2,0,1,0,0.235,50165
04.23,한화,0.200,5,5,0,1,0,0,0,0,0,0,0,0,1,0,0.232,50165
04.24,한화,0.000,4,3,0,0,0,0,0,0,0,0,1,0,0,0,0.220,50165
04.25,한화,0.000,4,3,0,0,0,0,0,0,0,0,1,0,2,0,0.210,50165
04.27,롯데,0.333,4,3,1,1,0,0,1,1,0,0,1,0,0,0,0.215,50165
04.28,롯데,0.250,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0.217,50165
04.29,롯데,0.250,4,4,0,1,1,0,0,0,0,0,0,0,0,0,0.219,50165
04.30,삼성,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.208,50165
05.01,삼성,0.250,5,4,0,1,0,0,0,0,0,0,1,0,1,0,0.210,50165
05.02,삼성,0.250,4,4,1,1,0,0,0,0,0,0,0,0,1,0,0.212,50165
05.05,두산,0.250,5,4,0,1,0,0,0,0,0,0,1,0,2,0,0.213,50165
05.06,두산,0.200,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0.213,50165
05.08,한화,0.400,5,5,1,2,0,0,1,3,0,0,0,0,0,0,0.222,50165
05.09,한화,0.600,5,5,0,3,0,0,0,0,0,0,0,0,0,0,0.240,50165
05.09,한화,0.400,5,5,0,2,0,0,0,0,0,0,0,0,1,0,0.248,50165
05.11,KIA,0.000,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0.239,50165
05.12,KIA,0.000,5,4,0,0,0,0,0,0,0,0,1,0,1,0,0.231,50165
05.13,KIA,0.500,4,4,0,2,0,0,0,0,0,0,0,0,0,0,0.240,50165
05.15,삼성,0.200,5,5,1,1,0,0,1,1,0,0,0,0,2,0,0.238,50165
05.17,삼성,0.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.236,50165
05.18,NC,0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0.231,50165
05.19,NC,0.500,4,4,0,2,1,0,0,2,0,0,0,0,1,0,0.239,50165
05.20,NC,0.667,3,3,0,2,0,0,0,1,0,0,0,0,1,0,0.248,50165
05.21,SSG,0.250,5,4,1,1,0,0,1,1,0,0,0,1,1,0,0.248,50165
05.22,SSG,0.250,4,4,0,1,0,0,0,1,0,0,0,0,1,1,0.248,50165
05.23,SSG,0.250,4,4,0,1,1,0,0,0,0,0,0,0,2,0,0.248,50165
05.26,롯데,0.250,5,4,1,1,0,0,1,1,0,0,1,0,1,0,0.248,50165
05.27,롯데,0.333,5,3,2,1,1,0,0,2,0,0,2,0,1,0,0.250,50165
05.28,키움,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.244,50165
05.29,키움,0.000,4,2,0,0,0,0,0,0,0,0,1,1,0,0,0.241,50165
05.30,키움,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.235,50165
06.01,KT,0.000,3,3,0,0,0,0,0,0,0,0,0,0,2,1,0.231,50165
06.02,KT,1.000,1,1,0,1,0,1,0,1,0,0,0,0,0,0,0.235,50165
06.04,KIA,0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.231,50165
06.05,KIA,0.200,5,5,0,1,0,0,0,1,0,0,0,0,0,0,0.230,50165
06.06,KIA,0.667,4,3,1,2,0,0,1,3,0,0,1,0,0,0,0.238,50165
06.08,NC,0.500,4,4,0,2,0,0,0,0,0,0,0,0,1,0,0.243,50165
04.04,키움,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,50458
04.07,두산,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000,50458
04.08,두산,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,50458
04.09,KT,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.000,50458
04.11,KT,1.000,3,2,0,2,1,0,0,0,0,0,1,0,0,0,0.500,50458
04.13,한화,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,50458
04.14,한화,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.500,50458
04.15,한화,0.000,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0.333,50458
04.16,롯데,0.400,5,5,0,2,0,0,0,0,1,0,0,0,0,0,0.364,50458
04.17,롯데,0.600,5,5,2,3,1,0,0,1,3,0,0,0,0,0,0.438,50458
04.18,롯데,0.000,4,4,0,0,0,0,0,0,0,1,0,0,0,0,0.350,50458
04.20,SSG,0.333,4,3,1,1,1,0,0,0,1,0,1,0,0,0,0.348,50458
04.21,SSG,0.667,5,3,2,2,0,0,0,2,0,0,1,0,0,0,0.385,50458
04.22,SSG,0.250,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0.367,50458
04.24,KIA,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.324,50458
04.25,KIA,0.200,5,5,0,1,0,0,0,0,0,0,0,0,0,0,0.308,50458
04.27,NC,0.250,4,4,1,1,0,0,0,2,0,0,0,0,1,0,0.302,50458
04.28,NC,0.333,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0.304,50458
04.29,NC,0.000,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0.292,50458
04.30,LG,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292,50458
05.01,LG,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292,50458
05.02,LG,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.292,50458
05.05,한화,0.000,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.286,50458
05.07,롯데,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.286,50458
05.08,롯데,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.286,50458
05.09,롯데,0.000,4,3,1,0,0,0,0,0,0,0,1,0,2,0,0.269,50458
05.11,KT,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.269,50458
05.12,KT,0.500,4,2,2,1,0,0,0,1,2,0,1,0,0,0,0.278,50458
05.13,KT,0.333,4,3,1,1,0,0,0,1,0,0,0,0,1,0,0.281,50458
05.14,LG,0.250,4,4,0,1,0,0,0,0,1,0,0,0,0,0,0.279,50458
05.15,LG,0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.266,50458
05.17,LG,-,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.266,50458
05.18,키움,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.250,50458
05.19,키움,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.250,50458
05.21,KIA,0.333,4,3,0,1,0,0,0,0,0,0,0,0,0,0,0.254,50458
05.22,KIA,0.000,3,1,0,0,0,0,0,2,0,0,0,0,1,0,0.250,50458
05.23,KIA,0.500,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0.263,50458
05.26,NC,0.000,5,4,2,0,0,0,0,0,0,0,1,0,0,0,0.250,50458
05.27,NC,0.250,4,4,0,1,1,0,0,0,0,0,0,0,1,0,0.250,50458
05.28,두산,1.000,4,3,1,3,0,0,0,0,0,0,0,0,0,0,0.276,50458
05.29,두산,0.200,5,5,1,1,0,0,0,0,0,0,0,0,0,0,0.272,50458
05.30,두산,0.000,3,2,1,0,0,0,0,0,2,0,1,0,0,0,0.266,50458
06.01,SSG,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.255,50458
06.02,SSG,0.167,6,6,1,1,0,0,1,2,0,0,0,0,2,0,0.250,50458
06.04,키움,0.500,4,4,1,2,0,0,0,0,0,0,0,0,0,0,0.259,50458
06.06,키움,0.000,4,2,0,0,0,0,0,0,0,0,1,0,1,0,0.255,50458
06.08,KIA,0.500,4,4,1,2,1,0,0,1,0,0,0,0,0,0,0.263,50458
06.09,KIA,0.000,3,2,0,0,0,0,0,0,0,0,1,0,1,0,0.259,50458
06.10,KIA,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.250,50458
06.11,NC,0.000,3,2,0,0,0,0,0,0,1,1,1,0,1,0,0.246,50458
06.15,두산,0.250,4,4,1,1,0,0,0,0,0,1,0,0,0,0,0.246,50458
06.16,두산,0.667,4,3,1,2,0,0,0,0,0,0,0,0,1,0,0.256,50458
06.17,두산,0.667,3,3,1,2,0,0,0,0,0,0,0,0,0,0,0.265,50458
06.18,롯데,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.265,50458
06.19,롯데,0.500,5,4,2,2,0,0,0,0,1,0,1,0,0,0,0.271,50458
06.20,롯데,0.250,4,4,1,1,0,0,0,1,0,0,0,0,1,0,0.271,50458
06.22,한화,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.264,50458
06.23,한화,0.500,4,4,0,2,0,0,0,1,0,0,0,0,0,0,0.270,50458
06.24,한화,0.000,4,3,0,0,0,0,0,0,0,0,0,0,1,0,0.265,50458
06.26,LG,0.000,2,2,0,0,0,0,0,0,0,0,0,0,1,0,0.261,50458
06.27,LG,0.500,4,4,2,2,0,0,0,1,2,0,0,0,0,0,0.267,50458
06.29,SSG,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.267,50458
06.30,SSG,0.333,3,3,2,1,0,0,0,0,0,0,0,0,0,0,0.268,50458
06.30,SSG,0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.263,50458
07.02,NC,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263,50458
07.09,롯데,0.500,3,2,1,1,0,0,0,0,0,0,1,0,0,0,0.266,50458
07.10,롯데,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.266,50458
