GYEAR,G_ID,PCODE,HIT_RESULT
2018,20180324,70410,17
2018,20180324,67935,17
2018,20180325,70410,17
2018,20180325,67935,17
2018,20180325,79240,17
2018,20180330,79240,17
2018,20180331,70410,17
2018,20180331,62556,17
2018,20180331,75334,17
2018,20180331,67450,17
2018,20180401,62907,17
2018,20180401,75334,17
2018,20180401,66838,17
2018,20180401,79402,17
2018,20180403,74163,17
2018,20180404,76849,17
2018,20180404,76267,17
2018,20180404,71564,17
2018,20180406,76249,17
2018,20180406,79608,17
2018,20180407,76249,17
2018,20180407,74540,17
2018,20180408,74206,17
2018,20180408,62931,17
2018,20180410,62895,17
2018,20180411,76753,17
2018,20180413,61404,17
2018,20180415,72133,17
2018,20180417,76753,17
2018,20180419,62415,17
2018,20180421,76267,17
2018,20180421,64300,17
2018,20180426,62907,17
2018,20180427,71564,17
2018,20180427,75334,17
2018,20180427,74206,17
2018,20180427,76802,17
2018,20180427,64153,17
2018,20180428,76753,17
2018,20180428,72443,17
2018,20180428,64300,17
2018,20180429,72133,17
2018,20180502,66838,17
2018,20180502,64300,17
2018,20180503,76313,17
2018,20180503,74215,17
2018,20180503,68730,17
2018,20180503,67450,17
2018,20180504,74163,17
2018,20180504,76802,17
2018,20180504,70410,17
2018,20180505,78603,17
2018,20180508,67304,17
2018,20180508,72133,17
2018,20180508,79608,17
2018,20180508,72443,17
2018,20180508,74540,17
2018,20180508,74540,17
2018,20180509,76267,17
2018,20180509,74215,17
2018,20180510,79109,17
2018,20180511,64153,17
2018,20180513,67450,17
2018,20180515,62556,17
2018,20180517,76753,17
2018,20180518,62947,17
2018,20180518,77248,17
2018,20180518,76812,17
2018,20180519,71564,17
2018,20180520,75334,17
2018,20180522,74540,17
2018,20180522,62907,17
2018,20180523,76313,17
2018,20180523,64153,17
2018,20180525,76812,17
2018,20180525,72443,17
2018,20180525,62931,17
2018,20180526,62415,17
2018,20180527,63704,17
2018,20180527,77564,17
2018,20180527,79240,17
2018,20180529,62404,17
2018,20180529,68730,17
2018,20180530,61404,17
2018,20180530,75334,17
2018,20180531,67450,17
2018,20180531,71564,17
2018,20180531,79240,17
2018,20180531,72443,17
2018,20180601,74163,17
2018,20180601,62895,17
2018,20180602,77564,17
2018,20180603,78603,17
2018,20180603,79402,17
2018,20180603,79109,17
2018,20180605,67025,17
2018,20180605,75125,17
2018,20180607,73136,17
2018,20180607,68730,17
2018,20180607,67450,17
2018,20180608,79109,17
2018,20180609,76249,17
2018,20180610,67450,17
2018,20180613,62947,17
2018,20180613,70410,17
2018,20180613,62556,17
2018,20180614,76267,17
2018,20180615,79109,17
2018,20180615,76812,17
2018,20180616,72133,17
2018,20180616,74206,17
2018,20180617,79608,17
2018,20180617,68730,17
2018,20180617,74540,17
2018,20180617,77564,17
2018,20180617,61404,17
2018,20180620,79608,17
2018,20180620,75125,17
2018,20180620,79240,17
2018,20180622,75334,17
2018,20180623,76267,17
2018,20180624,72443,17
2018,20180626,79402,17
2018,20180627,76802,17
2018,20180628,77564,17
2018,20180630,74206,17
2018,20180630,62895,17
2018,20180703,79608,17
2018,20180703,62895,17
2018,20180704,63704,17
2018,20180705,73113,17
2018,20180706,73113,17
2018,20180706,64300,17
2018,20180706,75566,17
2018,20180708,75566,17
2018,20180710,67935,17
2018,20180710,63704,17
2018,20180711,62947,17
2018,20180712,79608,17
2018,20180712,75334,17
2018,20180717,62556,17
2018,20180717,76249,17
2018,20180717,66838,17
2018,20180718,77564,17
2018,20180719,74215,17
2018,20180719,74163,17
2018,20180719,76267,17
2018,20180721,64300,17
2018,20180722,75566,17
2018,20180722,70410,17
2018,20180725,73136,17
2018,20180725,67304,17
2018,20180725,62895,17
2018,20180725,62415,17
2018,20180726,76249,17
2018,20180728,76267,17
2018,20180728,62895,17
2018,20180729,74206,17
2018,20180801,76313,17
2018,20180801,79240,17
2018,20180801,72133,17
2018,20180801,75334,17
2018,20180802,77248,17
2018,20180802,61102,17
2018,20180804,70410,17
2018,20180804,67450,17
2018,20180805,75125,17
2018,20180807,62895,17
2018,20180808,78603,17
2018,20180808,62895,17
2018,20180809,62556,17
2018,20180809,62404,17
2018,20180809,61404,17
2018,20180811,72133,17
2018,20180811,74206,17
2018,20180814,79608,17
2018,20180814,74339,17
2018,20180814,62415,17
2018,20180815,62907,17
2018,20180816,79240,17
2018,20180906,67650,17
2018,20180907,67025,17
2018,20180907,72443,17
2018,20180907,64346,17
2018,20180908,62947,17
2018,20180908,72443,17
2018,20180911,70410,17
2018,20180918,76267,17
2018,20180920,78603,17
2018,20180920,75334,17
2018,20180921,62415,17
2018,20180922,72443,17
2018,20180922,76267,17
2018,20180923,70410,17
2018,20180923,62947,17
2018,20180923,76267,17
2018,20180925,78603,17
2018,20180925,74540,17
2018,20180925,67450,17
2018,20180926,68730,17
2018,20180927,76812,17
2018,20180927,74163,17
2018,20180929,79608,17
2018,20180929,75566,17
2018,20180930,75334,17
2018,20181002,79109,17
2018,20181004,76812,17
2018,20181006,70410,17
2018,20181007,79240,17
2018,20181009,79608,17
2018,20181009,76249,17
2018,20181012,64346,17
2018,20181013,73113,17
2018,20181013,62415,17
