DATE,OPPOSITE,AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,PCODE
03.24,NC,0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.000,61102
03.25,NC,0.000,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0.000,61102
03.28,넥센,0.500,4,4,2,2,0,0,0,0,0,0,0,0,0,0,0.222,61102
03.29,넥센,0.333,3,3,0,1,0,0,0,1,0,0,0,0,0,1,0.250,61102
03.30,KIA,0.333,3,3,0,1,0,0,0,0,0,0,0,0,1,1,0.267,61102
03.31,KIA,0.500,4,4,1,2,0,0,1,2,0,0,0,0,0,0,0.316,61102
04.01,KIA,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.304,61102
04.04,두산,0.250,4,4,0,1,0,0,0,0,0,0,0,0,1,0,0.296,61102
04.06,롯데,1.000,5,3,3,3,0,0,2,3,0,0,2,0,0,0,0.367,61102
04.07,롯데,0.333,4,3,1,1,1,0,0,0,0,0,1,0,1,0,0.364,61102
04.08,롯데,0.333,4,3,1,1,1,0,0,0,0,0,1,0,0,0,0.361,61102
04.10,SK,0.333,4,3,0,1,1,0,0,0,0,0,1,0,1,0,0.359,61102
04.11,SK,0.333,3,3,1,1,0,0,1,1,0,0,0,0,0,0,0.357,61102
04.12,SK,0.333,4,3,0,1,0,0,0,1,0,0,1,0,0,0,0.356,61102
04.13,KT,0.333,3,3,0,1,0,0,0,0,0,0,0,0,0,0,0.354,61102
04.15,KT,0.400,5,5,2,2,2,0,0,2,0,0,0,0,0,1,0.358,61102
04.17,KIA,0.400,5,5,1,2,0,0,0,1,0,0,0,0,2,0,0.362,61102
04.18,KIA,0.250,4,4,0,1,1,0,0,2,0,0,0,0,1,1,0.355,61102
04.19,KIA,0.500,4,4,1,2,0,0,1,3,0,0,0,0,0,0,0.364,61102
04.20,NC,0.667,4,3,2,2,0,0,1,2,0,0,1,0,1,0,0.377,61102
04.21,NC,0.250,5,4,1,1,1,0,0,0,0,0,1,0,3,0,0.370,61102
04.22,NC,0.400,5,5,0,2,0,0,0,0,0,0,0,0,2,0,0.372,61102
04.24,넥센,0.500,2,2,1,1,0,0,1,2,0,0,0,0,0,1,0.375,61102
04.25,넥센,0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0.361,61102
04.27,삼성,0.250,4,4,1,1,0,0,0,0,0,0,0,0,3,0,0.356,61102
04.28,삼성,0.000,4,2,1,0,0,0,0,0,0,0,2,0,1,0,0.348,61102
04.29,삼성,0.200,5,5,1,1,0,0,1,1,0,0,0,0,3,0,0.340,61102
05.01,한화,0.250,4,4,0,1,0,0,0,0,0,0,0,0,2,0,0.337,61102
05.03,한화,0.333,4,3,0,1,0,0,0,0,0,0,1,0,0,0,0.337,61102
05.04,두산,0.250,4,4,0,1,1,0,0,1,0,0,0,0,1,0,0.333,61102
05.05,두산,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.321,61102
05.06,두산,0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.313,61102
05.08,롯데,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.310,61102
05.09,롯데,0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,0,0.302,61102
05.10,롯데,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.292,61102
05.11,SK,0.200,5,5,1,1,0,0,0,0,0,0,0,0,1,0,0.288,61102
05.13,SK,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.286,61102
05.15,삼성,0.200,5,5,0,1,0,0,0,0,0,0,0,0,0,1,0.282,61102
05.16,삼성,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,1,0.274,61102
05.17,삼성,0.500,4,4,1,2,1,0,0,1,0,0,0,0,1,0,0.281,61102
05.18,한화,0.667,4,3,0,2,0,0,0,1,0,0,1,0,0,0,0.289,61102
05.19,한화,0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0.285,61102
05.20,한화,0.000,4,4,0,0,0,0,0,0,0,0,0,0,1,0,0.277,61102
05.22,NC,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.276,61102
05.23,NC,0.000,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0.275,61102
05.25,KT,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0.268,61102
05.26,KT,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.266,61102
05.27,KT,0.400,5,5,1,2,0,0,0,0,0,0,0,0,1,0,0.270,61102
05.29,롯데,0.000,5,5,0,0,0,0,0,0,0,0,0,0,2,0,0.262,61102
05.30,롯데,0.000,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0.260,61102
05.31,롯데,1.000,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.265,61102
06.01,넥센,0.000,3,2,0,0,0,0,0,0,0,0,0,1,1,0,0.262,61102
06.02,넥센,0.000,4,2,0,0,0,0,0,0,0,0,1,1,1,0,0.259,61102
06.03,넥센,0.250,4,4,1,1,1,0,0,2,0,0,0,0,0,0,0.258,61102
06.06,한화,0.000,3,3,0,0,0,0,0,0,0,0,0,0,1,1,0.254,61102
06.07,한화,0.000,4,4,0,0,0,0,0,0,0,0,0,0,2,0,0.249,61102
06.08,삼성,0.400,5,5,1,2,0,0,1,2,0,0,0,0,2,0,0.253,61102
06.09,삼성,0.250,4,4,1,1,0,0,0,0,0,0,0,0,2,0,0.253,61102
06.10,삼성,0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,2,0.249,61102
06.12,NC,0.000,4,3,0,0,0,0,0,0,0,0,1,0,1,0,0.245,61102
06.13,NC,0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.243,61102
06.14,NC,0.250,4,4,1,1,0,0,0,0,0,0,0,0,0,0,0.243,61102
06.15,KIA,0.000,4,4,0,0,0,0,0,0,0,0,0,0,0,1,0.238,61102
06.16,KIA,0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.237,61102
06.17,KIA,0.667,4,3,1,2,0,0,0,1,0,0,1,0,0,0,0.243,61102
06.19,한화,0.667,4,3,0,2,0,0,0,0,0,0,1,0,0,0,0.249,61102
06.20,한화,0.500,4,4,1,2,1,0,0,1,0,0,0,0,1,0,0.253,61102
06.21,한화,0.500,4,4,0,2,1,0,0,0,0,0,0,0,0,0,0.258,61102
06.23,롯데,0.000,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.257,61102
06.24,롯데,0.500,2,2,0,1,0,0,0,0,0,0,0,0,0,0,0.259,61102
06.27,KT,0.250,4,4,0,1,0,0,0,0,0,0,0,0,0,0,0.259,61102
06.29,SK,1.000,2,2,0,2,2,0,0,0,0,0,0,0,0,0,0.265,61102
06.30,SK,0.500,3,2,1,1,0,0,1,2,0,0,0,1,0,0,0.267,61102
