GYEAR,G_ID,PCODE,HIT_RESULT
2019,20190323,73136,17
2019,20190328,68730,17
2019,20190328,61404,17
2019,20190330,71564,17
2019,20190330,71564,17
2019,20190330,79402,17
2019,20190331,71564,17
2019,20190331,78756,17
2019,20190331,61404,17
2019,20190331,78168,17
2019,20190402,69209,17
2019,20190402,68730,17
2019,20190403,67450,17
2019,20190404,67450,17
2019,20190404,62404,17
2019,20190404,68345,17
2019,20190405,61102,17
2019,20190406,71752,17
2019,20190406,61404,17
2019,20190406,75125,17
2019,20190410,72443,17
2019,20190411,76313,17
2019,20190414,62244,17
2019,20190416,61102,17
2019,20190417,68730,17
2019,20190417,78288,17
2019,20190417,64560,17
2019,20190417,74206,17
2019,20190417,74206,17
2019,20190418,79231,17
2019,20190419,68730,17
2019,20190420,71564,17
2019,20190420,76313,17
2019,20190420,62907,17
2019,20190420,61353,17
2019,20190420,72443,17
2019,20190420,74206,17
2019,20190420,76753,17
2019,20190420,79402,17
2019,20190421,75334,17
2019,20190423,74206,17
2019,20190424,76812,17
2019,20190425,76812,17
2019,20190425,76812,17
2019,20190426,64300,17
2019,20190426,78168,17
2019,20190426,71564,17
2019,20190427,62907,17
2019,20190427,64004,17
2019,20190428,74206,17
2019,20190501,75566,17
2019,20190502,68743,17
2019,20190502,64560,17
2019,20190502,62415,17
2019,20190504,68743,17
2019,20190507,74206,17
2019,20190507,67025,17
2019,20190507,61404,17
2019,20190509,74339,17
2019,20190510,78603,17
2019,20190511,78756,17
2019,20190511,79240,17
2019,20190512,67450,17
2019,20190512,75125,17
2019,20190514,75125,17
2019,20190515,62244,17
2019,20190516,72443,17
2019,20190516,61102,17
2019,20190516,67450,17
2019,20190517,64560,17
2019,20190517,62404,17
2019,20190521,67450,17
2019,20190521,68743,17
2019,20190521,78603,17
2019,20190522,79402,17
2019,20190522,64300,17
2019,20190522,76313,17
2019,20190525,68743,17
2019,20190525,76849,17
2019,20190526,64300,17
2019,20190528,68743,17
2019,20190528,64300,17
2019,20190528,79240,17
2019,20190529,71752,17
2019,20190531,78135,17
2019,20190531,77532,17
2019,20190601,64004,17
2019,20190604,62404,17
2019,20190606,62415,17
2019,20190606,72443,17
2019,20190608,73113,17
2019,20190609,73113,17
2019,20190609,64300,17
2019,20190611,73136,17
2019,20190611,68345,17
2019,20190612,62244,17
2019,20190612,76812,17
2019,20190612,73113,17
2019,20190612,72443,17
2019,20190613,79231,17
2019,20190614,79231,17
2019,20190614,61353,17
2019,20190615,64004,17
2019,20190616,78168,17
2019,20190616,76849,17
2019,20190618,74339,17
2019,20190618,78135,17
2019,20190620,68345,17
2019,20190620,78135,17
2019,20190620,61102,17
2019,20190620,62244,17
2019,20190620,72443,17
2019,20190621,67025,17
2019,20190622,67025,17
2019,20190622,62907,17
2019,20190626,79109,17
2019,20190627,76753,17
2019,20190627,61102,17
2019,20190628,74206,17
2019,20190630,71564,17
2019,20190704,62907,17
2019,20190704,67025,17
2019,20190704,73113,17
2019,20190705,64560,17
2019,20190706,68730,17
2019,20190706,76802,17
2019,20190706,61404,17
2019,20190707,73113,17
2019,20190707,75334,17
2019,20190709,78135,17
2019,20190709,79240,17
2019,20190709,69209,17
2019,20190709,75125,17
2019,20190711,78135,17
2019,20190711,78288,17
2019,20190711,64004,17
2019,20190712,76812,17
2019,20190713,71752,17
2019,20190713,64004,17
2019,20190713,67450,17
2019,20190714,79231,17
2019,20190714,79240,17
2019,20190714,79109,17
2019,20190717,64300,17
2019,20190718,74339,17
2019,20190726,61404,17
2019,20190726,71564,17
2019,20190727,62415,17
2019,20190727,61102,17
2019,20190727,67025,17
2019,20190801,69209,17
2019,20190803,69209,17
2019,20190803,78135,17
2019,20190804,74339,17
2019,20190804,77532,17
2019,20190804,75566,17
2019,20190806,75334,17
2019,20190806,79109,17
2019,20190807,68743,17
2019,20190807,78135,17
2019,20190808,78603,17
2019,20190809,71752,17
2019,20190809,75566,17
2019,20190809,78168,17
2019,20190810,78168,17
2019,20190810,75125,17
2019,20190810,71837,17
2019,20190811,73113,17
2019,20190811,79402,17
2019,20190811,62907,17
2019,20190811,75125,17
2019,20190811,76812,17
2019,20190813,64646,17
2019,20190813,74206,17
2019,20190813,74206,17
2019,20190813,76802,17
2019,20190814,64560,17
2019,20190815,64300,17
2019,20190816,78135,17
2019,20190816,69209,17
2019,20190817,75125,17
2019,20190817,75566,17
2019,20190818,71752,17
2019,20190818,61186,17
2019,20190818,75566,17
2019,20190818,79231,17
2019,20190818,62907,17
2019,20190818,76802,17
2019,20190820,62404,17
2019,20190823,78135,17
2019,20190823,69209,17
2019,20190823,74206,17
2019,20190824,76849,17
2019,20190824,71752,17
2019,20190825,78288,17
2019,20190827,74339,17
2019,20190827,67450,17
2019,20190831,72443,17
2019,20190831,75125,17
2019,20190903,79240,17
2019,20190908,79240,17
2019,20190910,78603,17
2019,20190911,76812,17
2019,20190914,76313,17
2019,20190915,78135,17
2019,20190916,75125,17
2019,20190917,64646,17
2019,20190919,75566,17
2019,20190919,79240,17
2019,20190919,62244,17
2019,20190920,67450,17
2019,20190920,71752,17
2019,20190921,62404,17
2019,20190921,76313,17
2019,20190924,79240,17
2019,20190925,79240,17
2019,20190926,76753,17
2019,20190927,76849,17
2019,20190927,71837,17
2019,20190928,76753,17
2019,20190928,67450,17
2019,20190929,79240,17
2019,20190930,78756,17
