PIT_ID,HIT_VEL,HIT_ANG_VER,HIT_RESULT
210418_150152,164.95,-7.2,5
190703_202821,105.92,35.5,14
210421_184206,102.74,-8.1,8
180401_142328,145.65,32.1,15
190731_204502,133.21,12.7,1
201016_211727,148.67,10.9,2
200903_214942,147.49,9.4,1
180504_211106,153.34,27.2,14
180623_173510,161.91,8.1,1
201002_161746,113.27,-7.1,5
200515_213806,153.58,-10.9,5
210626_154711,144.08,58.8,14
180602_173840,166.34,-2.2,1
190323_143941,121.9,33.9,14
200919_182854,120.81,9.7,1
180812_220606,117.18,16.8,1
210618_191243,148.27,8.8,12
190613_183720,148.98,5.9,12
210705_200842,134.8,25.9,14
200713_211824,145.19,55.8,14
190717_204413,132.23,26.4,14
190830_201809,135.21,14.2,1
210421_190315,142.59,32.7,2
180707_202658,149.8,22.6,2
180504_202543,78.45,-13.9,5
200702_213702,130.05,52.1,14
190414_143044,112.32,72.7,13
180412_213918,138.64,-12.1,5
200530_183038,118.54,53.1,14
180502_213414,108.72,24.2,1
210511_190113,136.21,6.4,1
180612_192809,124.25,52.6,14
190420_170333,124.86,24.9,1
210404_141435,142.61,32.7,14
181009_164041,148.04,22.3,14
190424_185415,106.28,25.9,1
190706_221805,136.05,13.8,1
180403_202943,121.14,6.3,12
210613_205012,125.29,22.6,2
200714_204339,143.53,29.0,15
210606_201605,159.44,-12.3,1
200507_194908,160.63,-11.0,5
180922_174746,124.55,-10.9,5
180621_215614,142.74,10.7,1
200510_142634,154.17,23.0,15
180725_210505,134.93,48.9,14
180905_195512,144.11,3.6,1
200701_200622,153.52,-1.7,8
180613_192624,166.75,29.1,15
200903_193514,110.12,35.6,14
190926_193853,132.44,-4.5,5
190628_191532,136.93,17.6,14
181013_180345,104.78,-16.5,8
190920_203401,131.13,16.1,1
210528_192316,160.8,-8.2,1
190827_194900,155.37,10.9,1
180406_183703,164.73,-9.1,5
181002_223158,142.42,-3.2,8
200528_183922,142.8,-12.2,8
180410_210009,160.72,-9.7,1
180513_145615,149.68,14.8,1
210623_185835,139.99,50.1,14
180623_184004,141.47,31.7,15
210502_163311,135.13,25.0,14
200916_202345,145.52,20.2,2
190825_175802,77.97,3.9,5
200606_183456,108.02,26.0,1
190727_184918,158.89,0.3,5
190421_141455,156.43,1.6,1
180418_204718,73.77,56.5,13
180909_144440,128.15,-2.8,5
190730_184923,132.04,-15.2,5
180809_213313,81.54,-19.9,1
210424_154737,120.76,61.5,14
180810_183622,150.52,41.5,14
180717_202023,161.02,7.5,1
180527_161049,121.9,-2.8,2
180503_211753,168.62,-10.2,1
190727_202411,152.42,30.1,14
180905_195616,138.01,26.4,14
190704_192607,127.09,45.6,14
190614_185533,131.96,45.2,13
201004_164039,155.56,12.4,1
180403_210052,161.62,0.1,1
190707_200325,106.69,39.4,14
200811_183526,134.37,-13.6,5
180527_155424,112.39,19.9,1
210417_192705,107.11,24.0,3
180404_193115,75.74,-18.6,5
190914_170814,147.11,25.2,14
201010_173317,140.1,15.1,1
210605_170126,149.49,-4.2,5
200711_215235,106.06,51.3,14
180630_173411,148.24,12.4,2
210623_184310,132.7,13.4,1
190505_154528,115.54,54.3,14
200603_203838,118.86,65.5,14
180403_194532,110.36,37.3,1
210414_195149,150.08,-4.3,8
201003_144257,137.52,40.9,14
190921_181946,150.66,1.3,5
200623_190148,141.55,13.2,1
