GYEAR,G_ID,PIT_ID,PCODE,T_ID,INN,HIT_VEL,HIT_ANG_VER,HIT_RESULT,PIT_VEL,STADIUM
2020,20200505HHSK0,200505_140454,68743,HH,1,110.28,-20.2,2,144.39,3
2020,20200505HHSK0,200505_140623,68730,HH,1,120.24,43.4,14,145.09,3
2020,20200505HHSK0,200505_141146,63704,SK,1,127.87,-13.9,5,132.62,3
2020,20200505HHSK0,200505_141334,61353,SK,1,136.55,30.2,14,133.36,3
2020,20200505HHSK0,200505_141409,75847,SK,1,148.29,24.0,14,132.51,3
2020,20200505HHSK0,200505_141618,76753,HH,2,156.38,21.0,2,142.61,3
2020,20200505HHSK0,200505_141843,71752,HH,2,140.42,14.0,1,144.77,3
2020,20200505HHSK0,200505_142407,62700,HH,2,128.01,1.7,8,133.52,3
2020,20200505HHSK0,200505_142721,67872,SK,2,123.12,39.2,14,131.96,3
2020,20200505HHSK0,200505_143029,74215,SK,2,86.17,58.8,13,144.26,3
2020,20200505HHSK0,200505_143329,74163,HH,3,127.78,-13.3,5,143.64,3
2020,20200505HHSK0,200505_143413,68743,HH,3,110.74,79.7,13,131.12,3
2020,20200505HHSK0,200505_143450,68730,HH,3,150.73,33.2,14,140.07,3
2020,20200505HHSK0,200505_143741,76812,SK,3,139.22,26.0,14,144.29,3
2020,20200505HHSK0,200505_144515,76753,HH,4,158.25,1.4,5,122.97,3
2020,20200505HHSK0,200505_144917,63704,SK,4,93.42,-18.4,5,131.05,3
2020,20200505HHSK0,200505_145025,61353,SK,4,124.52,36.4,13,144.44,3
2020,20200505HHSK0,200505_145112,75847,SK,4,110.67,71.9,14,144.36,3
2020,20200505HHSK0,200505_145353,61208,HH,5,137.33,20.4,14,138.98,3
2020,20200505HHSK0,200505_145425,78288,HH,5,147.69,32.9,14,141.55,3
2020,20200505HHSK0,200505_145844,67872,SK,5,119.69,68.1,14,143.4,3
2020,20200505HHSK0,200505_150050,62895,SK,5,137.45,52.4,13,144.69,3
2020,20200505HHSK0,200505_150703,74163,HH,6,135.65,-0.9,4,121.05,3
2020,20200505HHSK0,200505_150841,68743,HH,6,137.06,15.7,14,136.63,3
2020,20200505HHSK0,200505_151153,68730,HH,6,130.98,7.1,12,141.01,3
2020,20200505HHSK0,200505_151757,76812,SK,6,132.31,62.7,14,144.23,3
2020,20200505HHSK0,200505_151932,69825,SK,6,92.49,74.7,13,143.35,3
2020,20200505HHSK0,200505_152041,63450,SK,6,152.34,-1.4,5,143.36,3
2020,20200505HHSK0,200505_152306,76753,HH,7,161.17,14.6,2,127.61,3
2020,20200505HHSK0,200505_153006,62700,HH,7,156.57,8.8,1,138.24,3
2020,20200505HHSK0,200505_153801,67872,SK,7,166.33,9.6,1,142.94,3
2020,20200505HHSK0,200505_153957,62895,SK,7,169.49,-6.0,5,137.84,3
2020,20200505HHSK0,200505_154403,68743,HH,8,123.48,40.8,14,144.56,3
2020,20200505HHSK0,200505_154445,68730,HH,8,158.04,7.9,1,144.1,3
2020,20200505HHSK0,200505_155104,74215,SK,8,129.83,26.8,14,125.32,3
2020,20200505HHSK0,200505_155215,76812,SK,8,149.18,8.1,12,142.09,3
2020,20200505HHSK0,200505_155322,69825,SK,8,137.84,30.6,14,142.07,3
2020,20200505HHSK0,200505_155644,76753,HH,9,151.48,-7.2,4,129.55,3
2020,20200505HHSK0,200505_155852,61208,HH,9,65.03,65.6,14,139.41,3
2020,20200505HHSK0,200505_160000,78288,HH,9,98.18,64.2,13,136.21,3
2020,20200505HHSK0,200505_160317,77463,SK,9,110.39,43.9,14,144.63,3
2020,20200505HHSK0,200505_160412,75151,SK,9,120.11,-0.8,5,135.02,3
2020,20200505HHSK0,200505_160531,61353,SK,9,104.2,13.9,1,131.34,3
2020,20200505HHSK0,200505_160735,75847,SK,9,112.06,53.8,14,132.0,3
2020,20200505LTKT0,200505_151357,76249,LT,1,144.79,-4.3,5,141.93,2
2020,20200505LTKT0,200505_151649,77532,LT,1,116.16,11.1,12,114.36,2
2020,20200505LTKT0,200505_152151,64004,KT,1,144.49,-7.3,5,132.71,2
2020,20200505LTKT0,200505_152334,68050,KT,1,162.85,44.0,14,142.57,2
2020,20200505LTKT0,200505_152605,71564,LT,2,153.85,-6.2,5,144.32,2
2020,20200505LTKT0,200505_153421,74339,KT,2,133.25,15.6,1,134.57,2
2020,20200505LTKT0,200505_153725,67025,KT,2,85.02,26.5,2,134.86,2
2020,20200505LTKT0,200505_153845,76313,KT,2,127.78,73.8,14,143.23,2
2020,20200505LTKT0,200505_154436,78548,KT,2,146.8,-17.4,8,144.42,2
2020,20200505LTKT0,200505_154924,68518,LT,3,91.15,-9.6,5,111.8,2
2020,20200505LTKT0,200505_155339,64166,KT,3,138.44,45.4,14,142.68,2
2020,20200505LTKT0,200505_155546,64004,KT,3,117.69,26.9,14,142.93,2
2020,20200505LTKT0,200505_160005,78513,LT,4,145.37,4.0,5,148.88,2
2020,20200505LTKT0,200505_160122,77532,LT,4,152.6,-3.7,1,150.12,2
2020,20200505LTKT0,200505_160345,71564,LT,4,152.7,8.9,1,113.28,2
2020,20200505LTKT0,200505_161201,74339,KT,4,135.41,71.3,14,144.06,2
2020,20200505LTKT0,200505_161621,60523,LT,5,153.23,26.9,2,143.36,2
