PIT_ID,HIT_VEL,HIT_ANG_VER,HIT_RESULT
200708_203719,125.15,30.6,14
180506_163716,149.42,34.6,15
210408_202115,151.69,1.2,1
180925_154750,153.88,-13.1,5
210424_190929,151.06,3.7,4
180415_162200,153.09,49.6,14
210606_175702,151.7,-5.4,2
190817_184843,130.04,19.8,14
190821_200635,99.68,34.9,14
200823_172453,128.63,34.7,13
190611_212557,150.63,-7.1,5
210509_174746,125.08,18.6,1
190923_194215,133.94,22.9,14
210527_190816,88.62,75.4,13
200715_192128,124.35,65.2,14
180405_212800,101.73,28.9,1
200828_212153,103.19,1.2,8
190419_203231,121.54,32.0,14
190804_180925,141.63,56.8,14
190728_194011,144.61,-1.8,8
200901_202043,140.86,-6.9,5
180630_202715,166.98,5.6,12
200602_193737,161.43,8.1,1
180705_190832,147.08,-6.7,5
180728_220054,164.54,26.4,15
180927_191457,109.74,-14.0,1
190601_170636,151.86,2.7,1
201009_192438,136.62,-1.6,5
190418_184306,109.65,41.2,14
200505_172004,150.71,48.3,14
210617_183122,154.84,9.5,2
190406_201452,142.13,-8.4,5
180722_204530,110.31,71.6,14
200907_190108,155.14,-3.9,1
180412_213039,144.91,7.7,1
190330_195938,134.95,12.5,1
190411_184935,115.22,83.2,13
200920_175937,144.15,41.8,14
200710_202220,138.61,-8.3,2
190731_183220,125.38,75.9,13
190329_203358,127.82,11.7,1
180630_180350,142.35,17.6,2
180908_183128,147.14,10.1,1
190809_215906,150.74,17.2,2
190529_183706,80.21,36.2,14
200708_211229,140.2,16.6,1
201001_142216,151.03,-0.9,1
200611_184830,127.1,35.4,14
200806_190442,144.5,16.6,1
210509_140414,161.67,-6.8,1
180428_174944,105.25,37.0,14
190912_180014,143.45,9.5,1
181006_154632,128.97,29.9,14
180623_194343,41.85,22.2,16
190510_185623,140.66,50.2,14
190615_170523,107.91,25.7,1
210604_185759,138.66,9.9,1
190920_195022,110.38,-20.3,5
180414_193935,157.04,7.5,1
180906_210459,155.49,-0.5,1
201018_153641,152.32,16.2,14
200509_193256,114.26,-20.4,5
180331_182231,165.51,-0.3,5
200606_160332,134.34,47.7,14
200606_155938,103.28,32.6,1
190713_200201,128.97,17.2,1
180410_192231,124.31,26.3,17
180720_183545,132.69,11.3,1
190618_204723,133.49,17.1,14
210502_162224,135.94,35.6,14
180626_185431,159.35,14.1,12
190323_143242,117.16,37.2,14
190511_182454,115.26,33.3,14
190402_185533,144.7,1.8,1
200630_211447,160.89,25.5,15
180919_193316,143.98,21.6,14
181007_140158,151.56,11.1,2
190421_163132,146.52,-7.0,1
