HIT_VEL,HIT_ANG_VER
98.07,-17.6
163.43,6.5
165.04,-12.6
161.2,7.8
113.78,21.1
109.69,46.6
148.66,10.3
145.98,15.1
107.71,-20.4
102.41,8.3
124.86,19.1
116.45,39.0
138.99,34.8
151.83,9.3
125.89,8.5
163.49,-2.7
88.31,-20.5
150.6,8.8
154.52,30.0
138.69,26.1
136.43,28.4
152.41,20.1
159.57,-0.9
120.47,-8.1
121.73,3.5
125.02,3.0
149.04,-4.2
135.93,-5.9
134.66,-26.2
140.96,-11.3
134.64,56.2
137.4,25.6
120.61,3.6
148.86,22.3
30.48,-46.6
159.12,21.1
148.26,-3.6
134.03,24.9
145.77,39.6
164.84,8.5
154.87,14.4
129.68,35.0
142.62,3.5
156.29,23.9
154.08,-7.0
74.0,52.9
90.82,2.5
151.38,11.7
159.26,23.3
157.81,-7.2
142.22,6.5
160.62,12.4
100.84,-0.8
127.8,54.9
139.87,12.8
141.13,47.1
159.18,-5.5
117.99,32.6
115.38,33.5
145.34,-2.3
121.69,70.5
170.0,6.6
113.04,34.1
135.22,6.6
156.53,11.8
147.49,32.3
150.47,3.4
139.28,9.1
127.11,21.9
110.86,34.9
109.14,-31.2
137.95,-6.7
139.2,-0.1
108.53,-7.9
150.15,18.3
115.72,-26.2
108.19,40.2
165.72,-7.7
142.1,-9.7
153.52,-12.8
115.79,6.1
89.14,-1.1
120.98,2.7
139.05,11.9
138.39,20.3
155.28,33.8
152.93,15.8
149.66,31.4
110.83,-0.3
126.25,58.5
115.61,34.9
115.56,57.8
124.12,18.6
127.76,44.8
121.95,42.7
99.31,46.3
139.86,65.5
138.58,-5.9
153.81,25.5
153.3,20.4
154.73,20.4
84.92,4.6
143.08,52.2
154.63,33.8
121.09,-11.8
150.85,-7.6
154.08,-11.4
141.74,3.0
157.76,-6.1
150.37,-2.1
148.57,35.4
133.71,12.4
143.96,3.8
152.42,12.0
141.89,70.5
138.27,-18.6
120.05,8.1
143.45,36.8
128.41,32.4
150.71,-21.7
129.54,22.8
124.41,-3.9
135.63,53.1
125.07,5.0
122.11,-25.7
106.32,30.4
130.42,55.1
108.33,3.6
129.82,71.3
149.62,33.7
138.42,38.9
148.48,46.7
141.23,-14.0
146.44,30.4
147.22,10.1
90.54,-28.3
145.64,0.4
109.13,43.6
151.01,18.7
150.63,34.7
147.13,-3.9
154.42,-18.7
149.62,22.4
128.06,46.7
135.93,26.6
152.72,-5.0
118.48,61.2
123.63,46.6
137.31,22.1
147.47,-18.9
137.6,24.8
135.25,77.1
118.61,54.8
146.37,18.2
145.89,50.9
98.31,50.2
113.09,70.5
138.62,3.8
114.25,-9.7
130.9,35.9
156.68,3.2
159.2,15.7
113.49,-21.9
146.35,3.7
119.66,56.6
144.9,-4.9
154.96,10.2
153.35,-13.3
147.71,21.6
150.5,19.9
101.82,32.4
148.7,-20.2
150.41,6.8
143.35,36.1
134.19,21.3
125.38,24.7
123.55,35.3
103.32,35.0
147.56,8.1
134.44,32.9
137.75,51.5
148.42,17.2
99.74,65.7
109.23,66.0
151.39,26.0
139.34,25.9
131.11,33.7
114.65,13.0
132.04,25.1
157.44,-4.4
146.35,6.4
113.77,-3.3
159.31,-1.8
142.31,15.2
137.81,-7.2
107.59,23.3
133.62,13.5
159.27,7.9
126.76,46.5
96.9,80.8
95.36,-16.4
155.31,36.5
138.95,48.6
155.1,0.8
156.45,5.0
137.05,39.4
149.1,-10.5
137.85,-18.4
100.31,-19.3
145.17,-12.2
104.09,-2.5
127.9,34.5
122.08,47.1
108.72,7.1
125.04,8.9
127.39,-30.8
151.74,0.7
121.07,-5.0
127.93,-10.0
113.61,-20.0
159.86,0.2
145.87,14.1
137.04,9.3
160.94,17.2
116.92,34.8
146.86,13.1
132.07,22.7
123.36,66.1
147.43,28.0
151.37,-1.8
147.56,15.1
148.48,-3.4
153.44,-2.8
134.82,58.0
146.52,38.4
151.63,12.1
133.13,50.4
138.92,41.2
138.68,18.5
130.41,-3.4
145.2,22.7
154.13,-7.5
133.22,33.2
99.94,-16.1
152.75,-10.3
136.74,7.9
142.75,3.4
164.04,11.1
150.8,1.9
115.59,20.4
129.16,42.2
122.92,60.8
115.68,-4.4
158.53,4.6
120.46,11.1
75.67,-8.2
138.89,42.4
140.44,52.4
109.78,45.0
130.59,48.3
105.78,49.3
149.83,-1.6
142.47,65.4
142.15,-8.1
150.37,47.3
160.08,9.6
124.84,0.4
120.59,49.7
140.12,-14.5
125.16,-1.6
115.31,18.7
122.01,-9.4
136.81,28.4
118.03,83.1
118.01,8.8
161.94,25.2
125.89,23.0
119.39,43.9
114.87,-12.2
106.01,-15.8
116.74,34.6
150.75,13.0
77.7,45.8
129.9,33.9
154.51,49.7
167.73,2.6
107.67,-11.1
111.83,42.3
155.06,6.4
85.58,73.3
76.72,65.0
146.53,19.9
133.9,39.2
158.97,-0.1
136.89,5.2
112.35,7.6
136.0,-1.8
139.43,29.6
96.32,-13.7
158.54,14.6
105.69,63.0
141.47,29.2
149.62,-16.7
123.47,42.3
154.21,29.2
157.38,28.3
125.75,46.0
91.19,39.8
96.68,-13.6
97.33,69.7
134.1,46.2
117.86,20.8
154.8,37.8
151.06,-15.3
140.2,30.5
161.72,4.8
118.68,21.9
109.12,-14.8
131.96,53.2
102.65,-25.7
150.08,19.5
150.9,30.9
146.79,29.6
150.87,26.2
150.26,8.0
163.0,28.9
98.49,-23.5
90.56,-3.8
139.34,43.0
130.15,-8.6
149.91,-6.4
138.56,24.3
112.21,4.8
131.53,73.7
93.89,46.9
84.08,-12.5
148.22,24.5
150.71,27.8
140.45,85.6
152.44,34.1
156.82,18.5
156.59,15.3
139.56,5.6
155.54,-1.4
139.33,12.4
