PA,AB,H,BB,HBP,SF,PCODE,GYEAR,G_ID,OBP,OBP_cumsum
3,3,0,0,0,0.0,61102,2018,20180324,0.0,0.0
3,2,0,0,1,0.0,61102,2018,20180325,0.3333333333333333,0.16666666666666666
4,4,2,0,0,0.0,61102,2018,20180328,0.5,0.3
3,3,1,0,0,0.0,61102,2018,20180329,0.3333333333333333,0.3076923076923077
3,3,1,0,0,0.0,61102,2018,20180330,0.3333333333333333,0.3125
4,4,2,0,0,0.0,61102,2018,20180331,0.5,0.35
4,4,1,0,0,0.0,61102,2018,20180401,0.25,0.3333333333333333
4,4,1,0,0,0.0,61102,2018,20180404,0.25,0.32142857142857145
5,3,3,2,0,0.0,61102,2018,20180406,1.0,0.42424242424242425
4,3,1,1,0,0.0,61102,2018,20180407,0.5,0.43243243243243246
4,3,1,1,0,0.0,61102,2018,20180408,0.5,0.43902439024390244
4,3,1,1,0,0.0,61102,2018,20180410,0.5,0.4444444444444444
3,3,1,0,0,0.0,61102,2018,20180411,0.3333333333333333,0.4375
4,3,1,1,0,0.0,61102,2018,20180412,0.5,0.4423076923076923
3,3,1,0,0,0.0,61102,2018,20180413,0.3333333333333333,0.43636363636363634
5,5,2,0,0,0.0,61102,2018,20180415,0.4,0.43333333333333335
5,5,2,0,0,0.0,61102,2018,20180417,0.4,0.4307692307692308
4,4,1,0,0,0.0,61102,2018,20180418,0.25,0.42028985507246375
4,4,2,0,0,0.0,61102,2018,20180419,0.5,0.4246575342465753
4,3,2,1,0,0.0,61102,2018,20180420,0.75,0.44155844155844154
5,4,1,1,0,0.0,61102,2018,20180421,0.4,0.43902439024390244
5,5,2,0,0,0.0,61102,2018,20180422,0.4,0.4367816091954023
2,2,1,0,0,0.0,61102,2018,20180424,0.5,0.43820224719101125
3,3,0,0,0,0.0,61102,2018,20180425,0.0,0.42391304347826086
4,4,1,0,0,0.0,61102,2018,20180427,0.25,0.4166666666666667
4,2,0,2,0,0.0,61102,2018,20180428,0.5,0.42
5,5,1,0,0,0.0,61102,2018,20180429,0.2,0.4095238095238095
4,4,1,0,0,0.0,61102,2018,20180501,0.25,0.4036697247706422
4,3,1,1,0,0.0,61102,2018,20180503,0.5,0.40707964601769914
4,4,1,0,0,0.0,61102,2018,20180504,0.25,0.4017094017094017
4,4,0,0,0,0.0,61102,2018,20180505,0.0,0.3884297520661157
3,3,0,0,0,0.0,61102,2018,20180506,0.0,0.3790322580645161
1,1,0,0,0,0.0,61102,2018,20180508,0.0,0.376
3,3,0,0,0,0.0,61102,2018,20180509,0.0,0.3671875
4,4,0,0,0,0.0,61102,2018,20180510,0.0,0.3560606060606061
5,5,1,0,0,0.0,61102,2018,20180511,0.2,0.35036496350364965
1,1,0,0,0,0.0,61102,2018,20180513,0.0,0.34782608695652173
5,5,1,0,0,0.0,61102,2018,20180515,0.2,0.34265734265734266
4,4,0,0,0,0.0,61102,2018,20180516,0.0,0.3333333333333333
4,4,2,0,0,0.0,61102,2018,20180517,0.5,0.33774834437086093
4,3,2,1,0,0.0,61102,2018,20180518,0.75,0.34838709677419355
2,2,0,0,0,0.0,61102,2018,20180519,0.0,0.34394904458598724
4,4,0,0,0,0.0,61102,2018,20180520,0.0,0.33540372670807456
4,4,1,0,0,0.0,61102,2018,20180522,0.25,0.3333333333333333
3,1,0,1,1,0.0,61102,2018,20180523,0.6666666666666666,0.3392857142857143
4,4,0,0,0,0.0,61102,2018,20180525,0.0,0.3313953488372093
1,1,0,0,0,0.0,61102,2018,20180526,0.0,0.32947976878612717
5,5,2,0,0,0.0,61102,2018,20180527,0.4,0.33146067415730335
5,5,0,0,0,0.0,61102,2018,20180529,0.0,0.3224043715846995
1,1,0,0,0,0.0,61102,2018,20180530,0.0,0.32065217391304346
1,1,1,0,0,0.0,61102,2018,20180531,1.0,0.32432432432432434
3,2,0,0,1,0.0,61102,2018,20180601,0.3333333333333333,0.324468085106383
4,2,0,1,1,0.0,61102,2018,20180602,0.5,0.328125
4,4,1,0,0,0.0,61102,2018,20180603,0.25,0.32653061224489793
3,3,0,0,0,0.0,61102,2018,20180606,0.0,0.32160804020100503
4,4,0,0,0,0.0,61102,2018,20180607,0.0,0.31527093596059114
5,5,2,0,0,0.0,61102,2018,20180608,0.4,0.3173076923076923
4,4,1,0,0,0.0,61102,2018,20180609,0.25,0.3160377358490566
3,3,0,0,0,0.0,61102,2018,20180610,0.0,0.3116279069767442
4,3,0,1,0,0.0,61102,2018,20180612,0.25,0.3105022831050228
2,2,0,0,0,0.0,61102,2018,20180613,0.0,0.3076923076923077
4,4,1,0,0,0.0,61102,2018,20180614,0.25,0.30666666666666664
4,4,0,0,0,0.0,61102,2018,20180615,0.0,0.30131004366812225
1,1,0,0,0,0.0,61102,2018,20180616,0.0,0.3
4,3,2,1,0,0.0,61102,2018,20180617,0.75,0.3076923076923077
4,3,2,1,0,0.0,61102,2018,20180619,0.75,0.31512605042016806
4,4,2,0,0,0.0,61102,2018,20180620,0.5,0.3181818181818182
4,4,2,0,0,0.0,61102,2018,20180621,0.5,0.32113821138211385
1,1,0,0,0,0.0,61102,2018,20180623,0.0,0.31983805668016196
2,2,1,0,0,0.0,61102,2018,20180624,0.5,0.321285140562249
4,4,1,0,0,0.0,61102,2018,20180627,0.25,0.3201581027667984
2,2,2,0,0,0.0,61102,2018,20180629,1.0,0.3254901960784314
3,2,1,0,1,0.0,61102,2018,20180630,0.6666666666666666,0.32945736434108525
4,4,2,0,0,0.0,61102,2018,20180703,0.5,0.3320610687022901
4,3,2,0,1,0.0,61102,2018,20180704,0.75,0.3383458646616541
0,0,0,0,0,0.0,61102,2018,20180705,0.0,0.3383458646616541
3,3,2,0,0,0.0,61102,2018,20180706,0.6666666666666666,0.3420074349442379
5,5,2,0,0,0.0,61102,2018,20180707,0.4,0.34306569343065696
5,5,3,0,0,0.0,61102,2018,20180708,0.6,0.34767025089605735
3,3,1,0,0,0.0,61102,2018,20180710,0.3333333333333333,0.3475177304964539
4,4,1,0,0,0.0,61102,2018,20180712,0.25,0.34615384615384615
5,4,0,0,1,0.0,61102,2018,20180717,0.2,0.3436426116838488
2,2,1,0,0,0.0,61102,2018,20180718,0.5,0.3447098976109215
4,4,1,0,0,0.0,61102,2018,20180719,0.25,0.3434343434343434
1,1,0,0,0,0.0,61102,2018,20180720,0.0,0.3422818791946309
5,4,0,1,0,0.0,61102,2018,20180721,0.2,0.33993399339933994
3,3,0,0,0,0.0,61102,2018,20180722,0.0,0.3366013071895425
3,3,2,0,0,0.0,61102,2018,20180724,0.6666666666666666,0.33980582524271846
3,3,1,0,0,0.0,61102,2018,20180725,0.3333333333333333,0.33974358974358976
3,2,0,1,0,0.0,61102,2018,20180726,0.3333333333333333,0.3396825396825397
4,4,1,0,0,0.0,61102,2018,20180727,0.25,0.3385579937304075
5,5,3,0,0,0.0,61102,2018,20180728,0.6,0.3425925925925926
4,4,1,0,0,0.0,61102,2018,20180731,0.25,0.34146341463414637
1,1,0,0,0,0.0,61102,2018,20180801,0.0,0.3404255319148936
4,2,0,0,1,1.0,61102,2018,20180802,0.25,0.33933933933933935
4,4,1,0,0,0.0,61102,2018,20180804,0.25,0.33827893175074186
4,4,0,0,0,0.0,61102,2018,20180805,0.0,0.3343108504398827
1,1,0,0,0,0.0,61102,2018,20180807,0.0,0.3333333333333333
4,4,2,0,0,0.0,61102,2018,20180809,0.5,0.3352601156069364
4,4,2,0,0,0.0,61102,2018,20180810,0.5,0.33714285714285713
3,3,0,0,0,0.0,61102,2018,20180811,0.0,0.3342776203966006
1,1,0,0,0,0.0,61102,2018,20180812,0.0,0.3333333333333333
2,2,2,0,0,0.0,61102,2018,20180814,1.0,0.33707865168539325
4,4,2,0,0,0.0,61102,2018,20180815,0.5,0.3388888888888889
5,4,3,1,0,0.0,61102,2018,20180816,0.8,0.3452054794520548
4,4,3,0,0,0.0,61102,2018,20180904,0.75,0.34959349593495936
4,3,3,1,0,0.0,61102,2018,20180905,1.0,0.35656836461126007
4,4,0,0,0,0.0,61102,2018,20180906,0.0,0.35278514588859416
3,3,2,0,0,0.0,61102,2018,20180907,0.6666666666666666,0.35526315789473684
4,4,2,0,0,0.0,61102,2018,20180909,0.5,0.3567708333333333
4,4,1,0,0,0.0,61102,2018,20180911,0.25,0.3556701030927835
2,2,0,0,0,0.0,61102,2018,20180912,0.0,0.35384615384615387
5,3,0,1,0,0.0,61102,2018,20180913,0.25,0.35279187817258884
1,1,0,0,0,0.0,61102,2018,20180914,0.0,0.3518987341772152
5,3,0,1,1,0.0,61102,2018,20180915,0.4,0.3525
4,4,2,0,0,0.0,61102,2018,20180916,0.5,0.35396039603960394
4,3,1,0,0,0.0,61102,2018,20180918,0.3333333333333333,0.3538083538083538
5,5,1,0,0,0.0,61102,2018,20180919,0.2,0.35194174757281554
1,1,0,0,0,0.0,61102,2018,20180920,0.0,0.35108958837772397
3,3,1,0,0,0.0,61102,2018,20180921,0.3333333333333333,0.35096153846153844
4,4,0,0,0,0.0,61102,2018,20180922,0.0,0.3476190476190476
5,5,2,0,0,0.0,61102,2018,20180923,0.4,0.34823529411764703
5,4,1,1,0,0.0,61102,2018,20180925,0.4,0.3488372093023256
1,1,0,0,0,0.0,61102,2018,20180926,0.0,0.3480278422273782
4,4,2,0,0,0.0,61102,2018,20180927,0.5,0.34942528735632183
4,4,3,0,0,0.0,61102,2018,20180928,0.75,0.3530751708428246
4,1,0,3,0,0.0,61102,2018,20180929,0.75,0.35665914221218964
3,3,0,0,0,0.0,61102,2018,20180930,0.0,0.3542600896860987
5,5,1,0,0,0.0,61102,2018,20181002,0.2,0.352549889135255
4,4,1,0,0,0.0,61102,2018,20181003,0.25,0.3516483516483517
4,4,1,0,0,0.0,61102,2018,20181006,0.25,0.35076252723311546
4,3,1,1,0,0.0,61102,2018,20181013,0.5,0.35205183585313177
4,3,1,1,0,0.0,61404,2018,20180324,0.5,0.5
3,2,0,1,0,0.0,61404,2018,20180325,0.3333333333333333,0.42857142857142855
2,2,0,0,0,0.0,61404,2018,20180327,0.0,0.3333333333333333
4,4,3,0,0,0.0,61404,2018,20180328,0.75,0.46153846153846156
3,3,0,0,0,0.0,61404,2018,20180329,0.0,0.375
6,5,1,1,0,0.0,61404,2018,20180330,0.3333333333333333,0.36363636363636365
5,5,2,0,0,0.0,61404,2018,20180401,0.4,0.37037037037037035
5,4,3,1,0,0.0,61404,2018,20180403,0.8,0.4375
4,4,1,0,0,0.0,61404,2018,20180404,0.25,0.4166666666666667
5,5,2,0,0,0.0,61404,2018,20180405,0.4,0.4146341463414634
5,5,2,0,0,0.0,61404,2018,20180407,0.4,0.41304347826086957
6,4,2,2,0,0.0,61404,2018,20180408,0.6666666666666666,0.4423076923076923
4,3,0,1,0,0.0,61404,2018,20180410,0.25,0.42857142857142855
5,5,1,0,0,0.0,61404,2018,20180411,0.2,0.4098360655737705
4,4,2,0,0,0.0,61404,2018,20180412,0.5,0.4153846153846154
5,4,0,0,0,1.0,61404,2018,20180413,0.0,0.38571428571428573
5,3,1,1,1,0.0,61404,2018,20180414,0.6,0.4
4,4,2,0,0,0.0,61404,2018,20180415,0.5,0.4050632911392405
5,3,1,2,0,0.0,61404,2018,20180417,0.6,0.4166666666666667
6,5,3,1,0,0.0,61404,2018,20180418,0.6666666666666666,0.43333333333333335
5,4,2,0,0,0.0,61404,2018,20180419,0.5,0.43617021276595747
4,4,2,0,0,0.0,61404,2018,20180420,0.5,0.4387755102040816
4,4,0,0,0,0.0,61404,2018,20180421,0.0,0.4215686274509804
4,2,2,2,0,0.0,61404,2018,20180422,1.0,0.44339622641509435
4,3,2,1,0,0.0,61404,2018,20180424,0.75,0.45454545454545453
4,4,0,0,0,0.0,61404,2018,20180425,0.0,0.43859649122807015
4,4,2,0,0,0.0,61404,2018,20180426,0.5,0.4406779661016949
4,4,1,0,0,0.0,61404,2018,20180427,0.25,0.4344262295081967
5,5,1,0,0,0.0,61404,2018,20180428,0.2,0.4251968503937008
5,5,1,0,0,0.0,61404,2018,20180429,0.2,0.4166666666666667
4,4,2,0,0,0.0,61404,2018,20180501,0.5,0.41911764705882354
5,4,1,1,0,0.0,61404,2018,20180502,0.4,0.41843971631205673
4,3,1,1,0,0.0,61404,2018,20180503,0.5,0.4206896551724138
4,4,0,0,0,0.0,61404,2018,20180504,0.0,0.40939597315436244
4,4,1,0,0,0.0,61404,2018,20180505,0.25,0.40522875816993464
5,5,1,0,0,0.0,61404,2018,20180508,0.2,0.3987341772151899
5,5,2,0,0,0.0,61404,2018,20180509,0.4,0.3987730061349693
5,4,1,0,0,0.0,61404,2018,20180510,0.25,0.39520958083832336
5,5,2,0,0,0.0,61404,2018,20180511,0.4,0.3953488372093023
3,2,1,1,0,0.0,61404,2018,20180513,0.6666666666666666,0.4
4,3,1,1,0,0.0,61404,2018,20180515,0.5,0.4022346368715084
5,5,3,0,0,0.0,61404,2018,20180516,0.6,0.4076086956521739
4,4,0,0,0,0.0,61404,2018,20180517,0.0,0.39893617021276595
5,5,1,0,0,0.0,61404,2018,20180518,0.2,0.39378238341968913
5,5,1,0,0,0.0,61404,2018,20180519,0.2,0.3888888888888889
5,4,1,1,0,0.0,61404,2018,20180520,0.4,0.3891625615763547
5,3,0,1,1,0.0,61404,2018,20180522,0.4,0.3894230769230769
5,5,1,0,0,0.0,61404,2018,20180523,0.2,0.38497652582159625
4,4,1,0,0,0.0,61404,2018,20180524,0.25,0.3824884792626728
4,3,1,1,0,0.0,61404,2018,20180525,0.5,0.38461538461538464
