PCODE,GYEAR,G_ID,STADIUM,AVG1,PA,AB,R,H,2B,3B,HR,RBI,barrel_per,1B,SLG,SLG_cumsum
50165,2021,20210404,7.0,0.000,4,3,0,0,0,0,0,0,0.5,0,0.0,0.0
50165,2021,20210406,2.0,0.250,4,4,0,1,0,0,0,0,0.75,1,0.25,0.14285714285714285
50165,2021,20210407,2.0,0.000,2,2,0,0,0,0,0,0,0.5,0,0.0,0.1111111111111111
50165,2021,20210410,1.0,0.750,5,4,2,3,1,0,1,1,0.6,1,1.75,0.6153846153846154
50165,2021,20210411,1.0,0.000,3,3,0,0,0,0,0,0,0.3333333333333333,0,0.0,0.5
50165,2021,20210413,5.0,0.000,4,4,0,0,0,0,0,0,0.5,0,0.0,0.4
50165,2021,20210414,5.0,0.500,5,4,0,2,0,0,0,2,0.8,2,0.5,0.4166666666666667
50165,2021,20210415,5.0,0.250,4,4,1,1,0,0,0,0,0.25,1,0.25,0.39285714285714285
50165,2021,20210416,1.0,0.250,4,4,0,1,0,0,0,1,0.5,1,0.25,0.375
50165,2021,20210417,1.0,0.000,4,4,0,0,0,0,0,0,0.25,0,0.0,0.3333333333333333
50165,2021,20210418,1.0,0.500,4,4,0,2,1,0,0,0,0.75,1,0.75,0.375
50165,2021,20210420,1.0,0.333,4,3,0,1,0,0,0,0,0.5,1,0.3333333333333333,0.37209302325581395
50165,2021,20210421,1.0,0.250,4,4,1,1,0,0,1,3,0.5,0,1.0,0.425531914893617
50165,2021,20210422,1.0,0.000,5,3,0,0,0,0,0,0,0.2,0,0.0,0.4
50165,2021,20210423,10.0,0.200,5,5,0,1,0,0,0,0,0.8,1,0.2,0.38181818181818183
50165,2021,20210424,10.0,0.000,4,3,0,0,0,0,0,0,0.25,0,0.0,0.3620689655172414
50165,2021,20210425,10.0,0.000,4,3,0,0,0,0,0,0,0.25,0,0.0,0.3442622950819672
50165,2021,20210427,1.0,0.333,4,3,1,1,0,0,1,1,0.5,0,1.3333333333333333,0.390625
50165,2021,20210428,1.0,0.250,4,4,0,1,1,0,0,0,0.5,0,0.5,0.39705882352941174
50165,2021,20210429,1.0,0.250,4,4,0,1,1,0,0,0,0.25,0,0.5,0.4027777777777778
50165,2021,20210430,8.0,0.000,4,4,0,0,0,0,0,0,0.25,0,0.0,0.3815789473684211
50165,2021,20210501,8.0,0.250,5,4,0,1,0,0,0,0,0.4,1,0.25,0.375
50165,2021,20210502,8.0,0.250,4,4,1,1,0,0,0,0,0.25,1,0.25,0.36904761904761907
50165,2021,20210505,1.0,0.250,5,4,0,1,0,0,0,0,0.4,1,0.25,0.36363636363636365
50165,2021,20210506,1.0,0.200,5,5,1,1,0,0,0,0,0.6,1,0.2,0.3548387096774194
50165,2021,20210508,1.0,0.400,5,5,1,2,0,0,1,3,0.6,1,1.0,0.3877551020408163
50165,2021,20210509,1.0,0.600,5,5,0,3,0,0,0,0,1.2,3,0.6,0.39805825242718446
