PIT_ID,HIT_VEL,HIT_ANG_VER,HIT_RESULT
180608_204736,109.05,-52.4,4
180921_212607,140.39,20.5,1
180815_193022,144.04,11.9,1
180503_202344,140.58,30.7,14
180531_201021,125.69,78.7,13
201008_221707,128.21,0.0,1
180703_185337,155.1,-1.3,5
180327_213550,109.66,5.9,5
190421_163314,129.61,69.6,14
190627_203936,147.99,40.6,17
200701_193434,135.69,44.3,14
200923_193228,126.68,40.0,14
200726_185711,154.14,23.8,15
200603_183319,123.59,-9.3,5
200910_192726,147.53,24.7,15
180912_184248,148.39,24.1,15
180504_184720,154.42,7.1,1
200913_144638,123.95,15.3,1
200924_190444,139.49,34.6,14
210509_182159,142.68,25.1,1
190713_192610,153.95,5.7,1
200801_183719,119.46,26.2,2
200527_191326,118.13,26.4,14
180808_211424,136.33,29.2,14
180428_190100,150.56,7.9,1
190503_205818,154.66,-11.2,1
180916_170957,105.47,-10.0,5
190628_201124,151.28,34.4,15
201024_202428,150.46,34.4,15
190820_205111,108.85,-16.4,5
180805_204802,172.11,-3.2,1
190822_205745,153.42,-9.8,5
190828_213257,120.21,21.1,14
200923_182950,159.53,12.9,2
190604_195558,139.11,7.0,1
190920_203100,155.05,27.0,15
190502_212531,94.09,-1.4,5
200919_194614,131.71,-8.1,5
180327_204511,136.4,67.8,13
180804_185916,143.7,39.0,14
190809_195423,113.09,25.9,17
180620_190737,154.28,-5.6,5
180508_184834,118.06,48.3,1
190507_184258,116.3,57.4,14
180626_213109,158.52,-17.7,5
180612_192301,153.73,-13.3,1
180622_213112,124.77,18.3,1
190929_161436,158.31,-15.4,5
200819_215333,123.9,15.2,1
190914_180108,87.35,8.0,5
180922_171233,119.36,51.8,11
180916_182009,136.07,19.1,1
210420_195710,134.6,-14.3,4
180607_190846,147.46,29.8,14
210701_204636,141.91,20.9,14
180922_195809,113.44,13.1,1
180614_211712,124.76,-13.4,5
210608_183409,94.91,69.1,14
200913_170252,124.87,32.0,14
190814_190838,121.29,6.8,5
200819_204244,150.88,-13.2,5
210514_210253,102.08,56.9,11
190509_202528,127.7,4.8,1
180422_140338,141.28,14.2,1
200930_152622,116.78,-3.3,5
210707_211515,149.48,14.2,1
180816_194516,139.01,29.7,14
180923_143455,113.43,-12.6,8
190713_203502,97.48,-17.0,5
180324_163413,131.94,69.6,13
