GYEAR,G_ID,PIT_ID,PCODE,HIT_VEL,HIT_ANG_VER,HIT_RESULT,PIT_VEL,STADIUM,barrel
2021,20210403SSWO0,210403_155519,79402,149.95,24.8,14,141.37,5,1
2021,20210403SSWO0,210403_163018,79402,117.94,50.8,14,131.32,5,1
2021,20210404HHKT0,210404_141957,78288,161.8,0.2,1,140.17,2,0
2021,20210404HHKT0,210404_143145,78548,148.51,41.4,14,132.65,2,1
2021,20210404HHKT0,210404_150953,78548,149.83,33.2,15,141.65,2,1
2021,20210404HHKT0,210404_165617,78548,150.07,56.3,14,144.28,2,0
2021,20210404HTOB0,210404_140206,78603,152.06,2.8,1,147.83,1,1
2021,20210404HTOB0,210404_141309,79215,116.67,36.7,14,138.83,1,1
2021,20210404HTOB0,210404_143514,78603,130.6,7.9,1,145.22,1,1
2021,20210404HTOB0,210404_150058,79215,149.96,-12.8,5,149.51,1,0
2021,20210404HTOB0,210404_152821,78603,124.16,10.4,1,145.61,1,1
2021,20210404HTOB0,210404_154245,79240,147.79,8.2,1,139.7,1,1
2021,20210404HTOB0,210404_154650,79215,153.14,33.1,14,145.5,1,1
2021,20210404HTOB0,210404_154846,78224,145.19,2.7,5,149.72,1,0
2021,20210404HTOB0,210404_162324,79240,156.46,5.1,1,142.13,1,1
2021,20210404HTOB0,210404_163821,79215,154.12,23.0,15,148.56,1,1
2021,20210404LGNC0,210404_143349,79109,143.13,-3.1,5,140.82,7,0
2021,20210404LGNC0,210404_164007,79192,158.08,-3.5,1,137.62,7,0
2021,20210404LTSK0,210404_135951,79608,107.55,77.8,13,146.35,3,0
2021,20210404LTSK0,210404_140304,78513,146.48,26.3,14,148.25,3,1
2021,20210404LTSK0,210404_144123,79608,141.71,-3.3,5,145.18,3,0
2021,20210404LTSK0,210404_145356,78513,162.55,14.6,2,145.67,3,1
2021,20210404LTSK0,210404_152317,79608,165.9,-8.0,1,134.72,3,0
2021,20210404LTSK0,210404_153950,78513,134.0,9.4,1,145.04,3,1
2021,20210404LTSK0,210404_160658,79608,148.34,3.6,5,145.14,3,1
2021,20210404LTSK0,210404_162101,78513,164.42,-12.3,5,143.12,3,0
2021,20210404SSWO0,210404_140344,79402,135.92,12.3,1,152.19,5,1
2021,20210404SSWO0,210404_150305,79365,136.32,18.0,1,143.59,5,1
2021,20210404SSWO0,210404_162238,79402,142.41,29.0,14,123.97,5,1
2021,20210404SSWO0,210404_170805,79402,111.67,72.0,13,144.45,5,0
2021,20210406HTWO0,210406_183325,78603,153.04,-15.0,1,143.75,5,0
2021,20210406HTWO0,210406_192000,79365,99.75,3.4,5,146.27,5,0
2021,20210406HTWO0,210406_194853,78603,129.87,20.8,14,137.82,5,1
2021,20210406HTWO0,210406_205412,78603,125.97,13.0,1,124.75,5,1
2021,20210406LGKT0,210406_190119,78548,156.64,-11.8,8,144.81,2,0
2021,20210406LGKT0,210406_190505,79150,141.0,9.5,1,146.98,2,1
2021,20210406LGKT0,210406_190640,79109,157.85,7.2,2,126.89,2,1
2021,20210406LGKT0,210406_192351,79192,118.05,39.3,14,128.89,2,1
2021,20210406LGKT0,210406_193857,79109,85.36,46.0,14,145.47,2,0
2021,20210406LGKT0,210406_210535,79192,117.94,-16.6,5,128.98,2,0
2021,20210406LGKT0,210406_211059,78548,140.4,21.8,14,152.75,2,1
2021,20210406LTNC0,210406_183428,78513,118.85,16.8,1,133.19,7,1
2021,20210406LTNC0,210406_191828,79608,146.55,17.1,14,137.93,7,1
2021,20210406LTNC0,210406_200703,79608,133.4,37.0,14,129.11,7,1
2021,20210406LTNC0,210406_204949,79608,157.2,-11.1,1,143.28,7,0
2021,20210406LTNC0,210406_210649,78513,160.12,-0.6,1,138.07,7,0
2021,20210406LTNC0,210406_214107,79608,91.66,-14.3,5,141.16,7,0
2021,20210406LTNC0,210406_221249,79608,151.98,32.1,15,119.83,7,1
2021,20210406SSOB0,210406_183325,79402,144.2,4.0,1,139.52,1,1
2021,20210406SSOB0,210406_184523,79240,106.78,15.5,1,125.93,1,1
2021,20210406SSOB0,210406_185000,79215,148.33,30.2,14,126.78,1,1
2021,20210406SSOB0,210406_190411,78224,169.17,23.7,15,134.74,1,1
2021,20210406SSOB0,210406_191808,79402,108.4,-12.9,5,123.55,1,0
2021,20210406SSOB0,210406_192704,79240,147.67,3.1,1,135.3,1,1
2021,20210406SSOB0,210406_194043,79215,169.24,27.6,15,133.48,1,1
2021,20210406SSOB0,210406_200643,79402,137.54,-1.1,8,134.12,1,0
2021,20210406SSOB0,210406_201131,79240,146.51,-7.1,1,134.99,1,0
2021,20210406SSOB0,210406_201808,79215,146.09,39.3,14,142.32,1,1
2021,20210406SSOB0,210406_205129,79240,111.12,51.8,14,145.0,1,0
2021,20210406SSOB0,210406_210517,79215,95.35,-15.0,5,121.06,1,0
2021,20210407HHSK0,210407_195208,78288,132.13,6.8,12,126.91,3,1
2021,20210407HHSK0,210407_205011,78288,133.13,2.6,4,124.79,3,0
2021,20210407HHSK0,210407_211136,78288,125.35,-12.7,5,137.46,3,0
2021,20210407HHSK0,210407_214954,78288,143.0,26.8,14,141.99,3,1
2021,20210407HTWO0,210407_183605,78603,149.06,13.5,2,144.85,5,1
2021,20210407HTWO0,210407_190151,79365,140.1,65.6,14,142.01,5,0
2021,20210407HTWO0,210407_192531,78603,139.46,-1.4,1,136.8,5,0
2021,20210407HTWO0,210407_195608,78603,125.32,47.5,14,136.31,5,1
2021,20210407HTWO0,210407_200800,79365,158.6,0.4,1,142.44,5,0
2021,20210407HTWO0,210407_203904,78603,91.21,-6.7,5,140.17,5,0
2021,20210407HTWO0,210407_205503,79365,157.63,15.5,2,140.05,5,1
2021,20210407HTWO0,210407_225822,78603,143.73,12.3,1,127.47,5,1
2021,20210407LGKT0,210407_185819,79192,97.28,-23.8,5,136.85,2,0
2021,20210407LGKT0,210407_185948,79109,149.2,24.8,14,137.05,2,1
2021,20210407LGKT0,210407_193936,79192,110.93,44.3,14,108.86,2,1
2021,20210407LGKT0,210407_194028,79109,150.97,16.2,14,117.03,2,1
2021,20210407LGKT0,210407_195716,79150,93.92,-14.9,5,110.91,2,0
2021,20210407LGKT0,210407_201336,79192,96.54,-26.3,5,132.71,2,0
2021,20210407LGKT0,210407_203052,79150,146.93,-4.4,5,128.3,2,0
2021,20210407LGKT0,210407_204633,79192,131.01,40.1,14,129.28,2,1
2021,20210407LGKT0,210407_205002,78548,100.6,29.8,1,131.9,2,1
2021,20210407LGKT0,210407_213958,78548,152.28,38.9,14,139.02,2,1
2021,20210407LGKT0,210407_221511,79192,109.88,48.7,14,140.56,2,1
2021,20210407LTNC0,210407_183837,78513,137.97,14.4,1,138.99,7,1
2021,20210407LTNC0,210407_191610,78513,151.94,17.1,2,124.02,7,1
2021,20210407LTNC0,210407_194433,79608,142.89,47.9,14,135.82,7,1
2021,20210407LTNC0,210407_203250,78513,138.98,21.8,14,145.49,7,1
2021,20210407LTNC0,210407_213527,78513,138.07,2.5,5,141.65,7,0
2021,20210407SSOB0,210407_183543,79402,112.1,65.9,14,131.29,1,0
2021,20210407SSOB0,210407_184235,79240,125.17,18.4,1,147.1,1,1
2021,20210407SSOB0,210407_184752,78224,149.18,47.1,14,127.93,1,1
2021,20210407SSOB0,210407_192614,79215,128.54,5.0,1,142.56,1,0
2021,20210407SSOB0,210407_192821,78224,141.35,15.2,1,144.98,1,1
2021,20210407SSOB0,210407_201120,79240,126.81,24.0,14,142.95,1,1
2021,20210407SSOB0,210407_201507,79215,124.1,-10.9,4,122.93,1,0
2021,20210407SSOB0,210407_201756,78224,40.85,-24.6,5,125.2,1,0
2021,20210407SSOB0,210407_202233,79402,131.08,30.1,14,146.86,1,1
2021,20210407SSOB0,210407_210143,79240,119.6,47.1,14,119.12,1,1
2021,20210407SSOB0,210407_212702,79215,115.25,1.7,5,144.14,1,0
2021,20210408HHSK0,210408_190725,78288,124.58,28.4,14,140.2,3,1
2021,20210408HTWO0,210408_194223,79365,152.63,32.3,14,145.68,5,1
2021,20210408HTWO0,210408_205129,78603,148.14,-14.5,5,145.67,5,0
2021,20210408LGKT0,210408_185806,78548,150.6,11.6,1,122.87,2,1
2021,20210408LGKT0,210408_191455,79150,118.35,48.2,14,139.9,2,1
2021,20210408LGKT0,210408_193436,79109,158.29,15.1,14,143.68,2,1
2021,20210408LGKT0,210408_195911,79150,146.12,22.2,2,143.42,2,1
2021,20210408LGKT0,210408_200220,79109,159.24,-1.0,1,142.15,2,0
2021,20210408LGKT0,210408_202618,78548,131.54,47.1,14,117.55,2,1
2021,20210408LGKT0,210408_203541,79150,112.56,0.0,5,138.23,2,0
2021,20210408LGKT0,210408_205048,79109,143.69,2.7,1,135.6,2,0
2021,20210408LGKT0,210408_210707,79150,146.02,-4.4,1,124.27,2,0
2021,20210408LGKT0,210408_211010,79109,145.93,-6.9,5,125.99,2,0
2021,20210408LGKT0,210408_211454,78548,156.11,-6.9,8,137.66,2,0
2021,20210408LGKT0,210408_212147,79192,133.25,37.6,14,137.83,2,1
2021,20210408LTNC0,210408_183230,79608,146.92,9.7,1,140.59,7,1
2021,20210408LTNC0,210408_191559,79608,77.49,-28.2,5,127.62,7,0
2021,20210408LTNC0,210408_193435,78513,153.86,34.4,14,138.2,7,1
2021,20210408LTNC0,210408_200110,79608,114.4,-6.7,5,136.91,7,0
2021,20210408LTNC0,210408_210628,79608,139.38,13.8,1,131.09,7,1
2021,20210408LTNC0,210408_211114,78513,161.71,5.4,1,132.14,7,1
