AVG1,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,HBP,SO,GDP,AVG2,PCODE,GYEAR,G_ID
0.250,4,4,1,1,1,0,0,0,0,0,0,0,1,0,0.250,76232,2020,20200505
0.000,5,3,1,0,0,0,0,0,0,0,1,1,1,0,0.143,76232,2020,20200506
0.250,4,4,0,1,0,0,0,1,0,0,0,0,1,0,0.182,76232,2020,20200507
0.600,5,5,1,3,1,0,0,1,0,0,0,0,0,0,0.313,76232,2020,20200508
0.400,5,5,1,2,2,0,0,2,0,0,0,0,1,0,0.333,76232,2020,20200510
0.000,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0.304,76232,2020,20200512
0.250,5,4,0,1,0,0,0,1,0,0,0,0,0,0,0.296,76232,2020,20200513
0.250,4,4,0,1,1,0,0,0,0,0,0,0,1,0,0.290,76232,2020,20200514
1.000,1,1,0,1,0,0,0,2,0,0,0,0,0,0,0.313,76232,2020,20200515
0.000,5,2,1,0,0,0,0,1,0,0,3,0,1,0,0.294,76232,2020,20200517
0.333,5,3,1,1,0,0,0,1,0,0,0,2,0,0,0.297,76232,2020,20200519
0.500,4,4,1,2,1,0,1,1,0,0,0,0,0,0,0.317,76232,2020,20200520
0.250,5,4,1,1,0,0,0,0,0,0,1,0,0,1,0.311,76232,2020,20200521
0.000,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.304,76232,2020,20200522
0.500,3,2,0,1,0,0,0,0,1,0,1,0,0,0,0.313,76232,2020,20200523
0.333,4,3,2,1,0,0,1,2,0,0,1,0,0,0,0.314,76232,2020,20200527
0.500,4,4,1,2,0,0,1,4,0,0,0,0,0,0,0.327,76232,2020,20200528
0.333,4,3,2,1,0,0,0,0,0,0,1,0,0,0,0.328,76232,2020,20200529
0.333,4,3,0,1,0,0,0,0,0,0,0,1,0,0,0.328,76232,2020,20200530
0.250,4,4,1,1,0,0,0,1,0,0,0,0,0,0,0.323,76232,2020,20200531
0.000,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0.309,76232,2020,20200602
0.200,5,5,0,1,1,0,0,0,0,0,0,0,0,0,0.301,76232,2020,20200603
0.500,4,2,1,1,0,0,1,5,0,0,1,0,0,0,0.307,76232,2020,20200604
0.200,5,5,0,1,0,0,0,1,0,0,0,0,2,0,0.300,76232,2020,20200605
0.250,4,4,1,1,1,0,0,0,0,0,0,0,0,0,0.298,76232,2020,20200606
0.667,4,3,2,2,0,0,1,5,0,0,1,0,0,1,0.310,76232,2020,20200609
0.333,3,3,1,1,0,0,1,1,0,0,0,0,0,0,0.311,76232,2020,20200610
0.500,4,4,1,2,1,0,0,1,0,0,0,0,0,0,0.319,76232,2020,20200611
0.000,5,5,0,0,0,0,0,0,0,0,0,0,0,1,0.303,76232,2020,20200612
0.200,5,5,0,1,1,0,0,0,0,0,0,0,0,1,0.298,76232,2020,20200614
0.250,4,4,1,1,1,0,0,0,0,0,0,0,1,0,0.296,76232,2020,20200616
