GYEAR,PCODE,GAMENUM,PA,AB,BA,HIT,HR,TOTB,SLG,SF,BB,KK,IB,HP,GD,HIT_VEL,HIT_ANG_VER,len_barrel,barrel_per,OBP,OPS,barrel_per_pa,barrel_per_ab
2018,61102,132,465,425,0.29600000000000004,126,19,216,0.508,1,28,80,1,9,21,134.8322105263159,19.052631578947366,29.0,0.10175438596491228,0.35205183585313177,0.8600518358531317,0.06236559139784946,0.06823529411764706
2018,61404,141,586,513,0.3,154,11,217,0.423,4,54,70,1,10,13,127.44478021978027,13.067307692307692,10.0,0.027472527472527472,0.37521514629948366,0.7982151462994836,0.017064846416382253,0.01949317738791423
2018,62404,116,529,478,0.33299999999999996,159,20,255,0.5329999999999999,2,43,110,2,5,4,134.76668769716088,16.0454258675079,10.0,0.031545741324921134,0.39204545454545453,0.9250454545454545,0.01890359168241966,0.02092050209205021
2018,62415,144,649,576,0.299,172,9,249,0.43200000000000005,6,56,99,0,3,9,125.19004761904762,16.308333333333344,15.0,0.03571428571428571,0.36037441497659906,0.7923744149765991,0.023112480739599383,0.026041666666666668
2018,62556,139,479,425,0.294,125,11,188,0.442,5,33,95,2,11,12,129.8523048327138,14.645353159851298,17.0,0.06319702602230483,0.35654008438818563,0.7985400843881856,0.03549060542797495,0.04
2018,62700,141,517,484,0.254,123,9,176,0.364,0,28,130,0,4,7,129.3530215827338,10.019064748201437,13.0,0.046762589928057555,0.3003875968992248,0.6643875968992248,0.025145067698259187,0.026859504132231406
2018,62895,136,562,486,0.284,138,41,292,0.601,8,52,124,3,16,10,137.49107361963195,20.845705521472404,47.0,0.1441717791411043,0.3665480427046263,0.9675480427046264,0.08362989323843416,0.09670781893004116
2018,62907,115,460,411,0.324,133,5,180,0.43799999999999994,4,32,51,3,10,4,129.27333333333334,10.343710691823892,5.0,0.015723270440251572,0.38293216630196936,0.8209321663019693,0.010869565217391304,0.012165450121654502
2018,62931,125,458,420,0.28300000000000003,119,11,181,0.431,2,33,92,0,2,8,133.84224489795918,15.276870748299325,18.0,0.061224489795918366,0.33698030634573306,0.7679803063457331,0.039301310043668124,0.04285714285714286
2018,62947,144,620,556,0.318,177,23,288,0.518,5,44,131,4,15,11,136.58192513368994,14.299732620320855,40.0,0.10695187165775401,0.38064516129032255,0.8986451612903226,0.06451612903225806,0.07194244604316546
2018,63704,135,588,515,0.313,161,8,222,0.431,3,48,86,0,13,3,123.85890052356032,13.947643979057593,10.0,0.02617801047120419,0.38341968911917096,0.814419689119171,0.017006802721088437,0.019417475728155338
2018,64153,140,519,483,0.263,127,22,220,0.455,5,24,81,0,6,9,131.90294117647053,23.78235294117648,33.0,0.09243697478991597,0.3030888030888031,0.7580888030888031,0.06358381502890173,0.06832298136645963
