PA,AB,H,BB,HBP,SF,PCODE,GYEAR,G_ID,OBP,OBP_cumsum
4,3,2,1,0,0.0,50165,2020,20200505,0.75,0.75
4,4,1,0,0,0.0,50165,2020,20200506,0.25,0.5
4,4,1,0,0,0.0,50165,2020,20200507,0.25,0.4166666666666667
5,5,3,0,0,0.0,50165,2020,20200508,0.6,0.47058823529411764
5,4,2,1,0,0.0,50165,2020,20200510,0.6,0.5
4,3,1,1,0,0.0,50165,2020,20200512,0.5,0.5
5,4,1,1,0,0.0,50165,2020,20200513,0.4,0.4838709677419355
4,4,2,0,0,0.0,50165,2020,20200514,0.5,0.4857142857142857
3,1,0,2,0,0.0,50165,2020,20200516,0.6666666666666666,0.5
4,3,1,0,1,0.0,50165,2020,20200516,0.5,0.5
2,2,0,0,0,0.0,50165,2020,20200517,0.0,0.4772727272727273
4,3,2,1,0,0.0,50165,2020,20200519,0.75,0.5
4,3,1,1,0,0.0,50165,2020,20200520,0.5,0.5
4,4,2,0,0,0.0,50165,2020,20200521,0.5,0.5
4,4,1,0,0,0.0,50165,2020,20200522,0.25,0.48333333333333334
5,4,0,1,0,0.0,50165,2020,20200523,0.2,0.46153846153846156
5,5,1,0,0,0.0,50165,2020,20200524,0.2,0.44285714285714284
4,3,1,1,0,0.0,50165,2020,20200526,0.5,0.44594594594594594
4,4,2,0,0,0.0,50165,2020,20200527,0.5,0.44871794871794873
4,4,1,0,0,0.0,50165,2020,20200528,0.25,0.43902439024390244
4,4,3,0,0,0.0,50165,2020,20200529,0.75,0.45348837209302323
3,3,1,0,0,0.0,50165,2020,20200530,0.3333333333333333,0.449438202247191
2,2,1,0,0,0.0,50165,2020,20200531,0.5,0.45054945054945056
3,3,1,0,0,0.0,50165,2020,20200602,0.3333333333333333,0.44680851063829785
5,3,0,1,0,1.0,50165,2020,20200603,0.2,0.43434343434343436
5,5,2,0,0,0.0,50165,2020,20200604,0.4,0.4326923076923077
4,4,2,0,0,0.0,50165,2020,20200605,0.5,0.4351851851851852
4,2,0,1,0,1.0,50165,2020,20200606,0.25,0.42857142857142855
5,5,3,0,0,0.0,50165,2020,20200607,0.6,0.4358974358974359
4,2,1,2,0,0.0,50165,2020,20200609,0.75,0.4462809917355372
