PCODE,GYEAR,G_ID,STADIUM,AVG1,PA,AB,R,H,2B,3B,HR,RBI,barrel_per,1B,SLG,SLG_cumsum
50165,2020,20200505,1.0,0.667,4,3,0,2,2,0,0,0,0.5,0,1.3333333333333333,1.3333333333333333
50165,2020,20200506,1.0,0.250,4,4,1,1,0,0,0,0,0.25,1,0.25,0.7142857142857143
50165,2020,20200507,1.0,0.250,4,4,0,1,0,0,0,0,0.75,1,0.25,0.5454545454545454
50165,2020,20200508,7.0,0.600,5,5,1,3,0,0,0,1,0.8,3,0.6,0.5625
50165,2020,20200510,7.0,0.500,5,4,2,2,0,0,2,2,0.6,0,2.0,0.85
50165,2020,20200512,1.0,0.333,4,3,1,1,0,0,1,2,0.75,0,1.3333333333333333,0.9130434782608695
50165,2020,20200513,1.0,0.250,5,4,2,1,1,0,0,1,0.4,0,0.5,0.8518518518518519
50165,2020,20200514,1.0,0.500,4,4,0,2,0,0,0,0,0.5,2,0.5,0.8064516129032258
50165,2020,20200516,1.0,0.000,3,1,1,0,0,0,0,0,0.6666666666666666,0,0.0,0.78125
50165,2020,20200516,1.0,0.333,4,3,1,1,0,0,1,1,0.5,0,1.3333333333333333,0.8285714285714286
50165,2020,20200517,1.0,0.000,2,2,0,0,0,0,0,0,0.5,0,0.0,0.7837837837837838
50165,2020,20200519,8.0,0.667,4,3,1,2,1,0,1,3,0.5,0,2.0,0.875
50165,2020,20200520,8.0,0.333,4,3,1,1,0,0,1,1,0.5,0,1.3333333333333333,0.9069767441860465
50165,2020,20200521,8.0,0.500,4,4,0,2,0,0,0,0,0.5,2,0.5,0.8723404255319149
50165,2020,20200522,1.0,0.250,4,4,0,1,0,0,0,1,0.5,1,0.25,0.8235294117647058
50165,2020,20200523,1.0,0.000,5,4,0,0,0,0,0,0,0.2,0,0.0,0.7636363636363637
50165,2020,20200524,1.0,0.200,5,5,1,1,0,0,1,4,0.4,0,0.8,0.7666666666666667
50165,2020,20200526,10.0,0.333,4,3,1,1,0,0,1,1,0.25,0,1.3333333333333333,0.7936507936507936
50165,2020,20200527,10.0,0.500,4,4,1,2,0,0,1,2,0.25,1,1.25,0.8208955223880597
50165,2020,20200528,10.0,0.250,4,4,0,1,0,0,0,0,0.75,1,0.25,0.7887323943661971
50165,2020,20200529,4.0,0.750,4,4,1,3,0,0,1,2,0.75,2,1.5,0.8266666666666667
50165,2020,20200530,4.0,0.333,3,3,0,1,0,0,0,0,0.3333333333333333,1,0.3333333333333333,0.8076923076923077
50165,2020,20200531,4.0,0.500,2,2,1,1,1,0,0,0,0.5,0,1.0,0.8125
50165,2020,20200602,1.0,0.333,3,3,0,1,0,0,0,0,0.3333333333333333,1,0.3333333333333333,0.7951807228915663
50165,2020,20200603,1.0,0.000,5,3,0,0,0,0,0,1,0.4,0,0.0,0.7674418604651163
50165,2020,20200604,1.0,0.400,5,5,1,2,0,0,0,0,0.2,2,0.4,0.7472527472527473
50165,2020,20200605,5.0,0.500,4,4,2,2,0,0,2,3,0.75,0,2.0,0.8
50165,2020,20200606,5.0,0.000,4,2,0,0,0,0,0,1,0.75,0,0.0,0.7835051546391752
50165,2020,20200607,5.0,0.600,5,5,0,3,0,0,0,1,0.6,3,0.6,0.7745098039215687
50165,2020,20200609,1.0,0.500,4,2,0,1,0,0,0,0,0.25,1,0.5,0.7692307692307693
50165,2020,20200611,1.0,0.500,4,4,2,2,0,0,1,2,1.0,1,1.25,0.7870370370370371
50165,2020,20200611,1.0,0.250,4,4,0,1,1,0,0,2,1.0,0,0.5,0.7767857142857143
50165,2020,20200619,1.0,0.000,5,5,0,0,0,0,0,0,0.4,0,0.0,0.7435897435897436
50165,2020,20200620,1.0,0.500,4,4,0,2,0,0,0,0,0.25,2,0.5,0.7355371900826446
50165,2020,20200621,1.0,0.500,4,4,0,2,1,0,0,0,1.0,1,0.75,0.736
50165,2020,20200623,1.0,0.000,5,4,0,0,0,0,0,0,0.0,0,0.0,0.7131782945736435
50165,2020,20200625,1.0,0.333,4,3,0,1,0,0,0,1,0.75,1,0.3333333333333333,0.7045454545454546
