PA,AB,H,BB,HBP,SF,PCODE,GYEAR,G_ID,OBP,OBP_cumsum
4,3,0,1,0,0.0,50165,2021,20210404,0.25,0.25
4,4,1,0,0,0.0,50165,2021,20210406,0.25,0.25
2,2,0,0,0,0.0,50165,2021,20210407,0.0,0.2
1,1,0,0,0,0.0,50165,2021,20210409,0.0,0.18181818181818182
5,4,3,1,0,0.0,50165,2021,20210410,0.8,0.375
3,3,0,0,0,0.0,50165,2021,20210411,0.0,0.3157894736842105
4,4,0,0,0,0.0,50165,2021,20210413,0.0,0.2608695652173913
5,4,2,1,0,0.0,50165,2021,20210414,0.6,0.32142857142857145
4,4,1,0,0,0.0,50165,2021,20210415,0.25,0.3125
4,4,1,0,0,0.0,50165,2021,20210416,0.25,0.3055555555555556
4,4,0,0,0,0.0,50165,2021,20210417,0.0,0.275
4,4,2,0,0,0.0,50165,2021,20210418,0.5,0.29545454545454547
4,3,1,1,0,0.0,50165,2021,20210420,0.5,0.3125
4,4,1,0,0,0.0,50165,2021,20210421,0.25,0.3076923076923077
5,3,0,2,0,0.0,50165,2021,20210422,0.4,0.3157894736842105
5,5,1,0,0,0.0,50165,2021,20210423,0.2,0.3064516129032258
4,3,0,1,0,0.0,50165,2021,20210424,0.25,0.30303030303030304
4,3,0,1,0,0.0,50165,2021,20210425,0.25,0.3
4,3,1,1,0,0.0,50165,2021,20210427,0.5,0.3108108108108108
4,4,1,0,0,0.0,50165,2021,20210428,0.25,0.3076923076923077
4,4,1,0,0,0.0,50165,2021,20210429,0.25,0.3048780487804878
4,4,0,0,0,0.0,50165,2021,20210430,0.0,0.29069767441860467
5,4,1,1,0,0.0,50165,2021,20210501,0.4,0.2967032967032967
4,4,1,0,0,0.0,50165,2021,20210502,0.25,0.29473684210526313
5,4,1,1,0,0.0,50165,2021,20210505,0.4,0.3
5,5,1,0,0,0.0,50165,2021,20210506,0.2,0.29523809523809524
5,5,2,0,0,0.0,50165,2021,20210508,0.4,0.3
5,5,3,0,0,0.0,50165,2021,20210509,0.6,0.3130434782608696
5,5,2,0,0,0.0,50165,2021,20210509,0.4,0.31666666666666665
4,4,0,0,0,0.0,50165,2021,20210511,0.0,0.3064516129032258
5,4,0,1,0,0.0,50165,2021,20210512,0.2,0.3023255813953488
4,4,2,0,0,0.0,50165,2021,20210513,0.5,0.3082706766917293
5,5,1,0,0,0.0,50165,2021,20210515,0.2,0.30434782608695654
1,1,0,0,0,0.0,50165,2021,20210517,0.0,0.302158273381295
4,3,0,1,0,0.0,50165,2021,20210518,0.25,0.3006993006993007
4,4,2,0,0,0.0,50165,2021,20210519,0.5,0.30612244897959184
3,3,2,0,0,0.0,50165,2021,20210520,0.6666666666666666,0.31333333333333335
5,4,1,0,1,0.0,50165,2021,20210521,0.4,0.3161290322580645
4,4,1,0,0,0.0,50165,2021,20210522,0.25,0.31446540880503143
4,4,1,0,0,0.0,50165,2021,20210523,0.25,0.3128834355828221
